dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.382304,0.662958,0.000198,0.019842,0.992103,49.605159,0.538911
0.020000,11.382304,0.662958,0.000992,0.059526,1.984206,49.605159,0.540004
0.020000,11.382844,0.663283,0.002579,0.099210,1.984206,0.000000,0.542188
0.020000,11.384882,0.664515,0.004961,0.138894,1.984206,0.000000,0.545462
0.020000,11.387592,0.666168,0.008135,0.178579,1.984206,-0.000000,0.549824
0.020000,11.390970,0.668251,0.012104,0.218263,1.984206,0.000000,0.555273
0.020000,11.395008,0.670774,0.016866,0.257947,1.984206,-0.000000,0.561804
0.020000,11.399699,0.673752,0.022422,0.297631,1.984206,0.000000,0.569411
0.020000,11.405031,0.677198,0.028771,0.337315,1.984206,0.000000,0.578086
0.020000,11.410995,0.681131,0.035914,0.376999,1.984206,0.000000,0.587818
0.020000,11.417576,0.685567,0.043851,0.416683,1.984206,-0.000000,0.598593
0.020000,11.424759,0.690529,0.052581,0.456367,1.984206,-0.000000,0.610393
0.020000,11.432528,0.696038,0.062106,0.496052,1.984206,0.000000,0.623193
0.020000,11.440865,0.702118,0.072424,0.535736,1.984206,-0.000000,0.636966
0.020000,11.449748,0.708792,0.083535,0.575420,1.984206,0.000000,0.651675
0.020000,11.459157,0.716086,0.095440,0.615104,1.984206,-0.000000,0.667279
0.020000,11.469067,0.724027,0.108139,0.654788,1.984206,0.000000,0.683727
0.020000,11.479452,0.732640,0.121632,0.694472,1.984206,-0.000000,0.700961
0.020000,11.490287,0.741952,0.135918,0.734156,1.984206,0.000000,0.718915
0.020000,11.501541,0.751988,0.150998,0.773840,1.984206,0.000000,0.737513
0.020000,11.513187,0.762775,0.166872,0.813525,1.984206,-0.000000,0.756672
0.020000,11.525192,0.774336,0.183539,0.853209,1.984206,0.000000,0.776300
0.020000,11.537527,0.786694,0.201000,0.892893,1.984206,-0.000000,0.796298
0.020000,11.550160,0.799871,0.219255,0.932577,1.984206,0.000000,0.816561
0.020000,11.563059,0.813886,0.238303,0.972261,1.984206,-0.000000,0.836977
0.020000,11.576195,0.828757,0.258145,1.011945,1.984206,0.000000,0.857432
0.020000,11.589538,0.844499,0.278781,1.051629,1.984206,0.000000,0.877809
0.020000,11.603059,0.861124,0.300210,1.091313,1.984206,0.000000,0.897988
0.020000,11.616733,0.878641,0.322434,1.130998,1.984206,0.000000,0.917851
0.020000,11.630536,0.897060,0.345450,1.170682,1.984206,-0.000000,0.937282
0.020000,11.644447,0.916383,0.369261,1.210366,1.984206,0.000000,0.956166
0.020000,11.658449,0.936614,0.393865,1.250050,1.984206,0.000000,0.974393
0.020000,11.672528,0.957752,0.419263,1.289734,1.984206,0.000000,0.991857
0.020000,11.686673,0.979795,0.445454,1.329418,1.984206,-0.000000,1.008458
0.020000,11.700879,1.002738,0.472440,1.369102,1.984206,0.000000,1.024098
0.020000,11.715144,1.026575,0.500218,1.408787,1.984206,-0.000000,1.038685
0.020000,11.729471,1.051295,0.528791,1.448471,1.984206,0.000000,1.052130
0.020000,11.743869,1.076890,0.558157,1.488155,1.984206,-0.000000,1.064346
0.020000,11.758351,1.103345,0.588317,1.527839,1.984206,0.000000,1.075250
0.020000,11.772936,1.130647,0.619271,1.567523,1.984206,0.000000,1.084756
0.020000,11.787650,1.158779,0.651018,1.607207,1.984206,0.000000,1.092777
0.020000,11.802522,1.187722,0.683559,1.646891,1.984206,-0.000000,1.099224
0.020000,11.817590,1.217457,0.716894,1.686575,1.984206,0.000000,1.103999
0.020000,11.832898,1.247959,0.751022,1.726260,1.984206,0.000000,1.107000
0.020000,11.848498,1.279204,0.785944,1.765944,1.984206,0.000000,1.108111
0.020000,11.864448,1.311160,0.821660,1.805628,1.984206,-0.000000,1.107204
0.020000,11.880818,1.343793,0.858169,1.845312,1.984206,0.000000,1.104136
