dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.196551,0.973608,0.000198,0.019842,0.992103,49.605159,0.538911
0.020000,11.196212,0.973405,0.000594,0.019772,-0.003505,-49.780423,0.540004
0.020000,11.196074,0.973323,0.000754,0.008025,-0.587361,-29.192790,0.542188
0.020000,11.197097,0.973942,0.001950,0.059801,2.588830,158.809563,0.545462
0.020000,11.198459,0.974772,0.003546,0.079780,0.998917,-79.495642,0.549824
0.020000,11.200159,0.975820,0.005542,0.099812,1.001608,0.134518,0.555273
0.020000,11.202192,0.977091,0.007941,0.119916,1.005189,0.179089,0.561804
0.020000,11.204558,0.978593,0.010743,0.140124,1.010396,0.260301,0.569411
0.020000,11.207254,0.980335,0.013953,0.160476,1.017600,0.360232,0.578086
0.020000,11.210277,0.982328,0.017573,0.181029,1.027665,0.503259,0.587818
0.020000,11.213624,0.984585,0.021610,0.201837,1.040396,0.636552,0.598593
0.020000,11.217293,0.987120,0.026069,0.222980,1.057164,0.838360,0.610393
0.020000,11.221283,0.989949,0.030960,0.244548,1.078377,1.060696,0.623193
0.020000,11.225591,0.993091,0.036293,0.266640,1.104643,1.313294,0.636966
0.020000,11.230218,0.996567,0.042081,0.289370,1.136481,1.591869,0.651675
0.020000,11.235164,1.000401,0.048338,0.312869,1.174928,1.922360,0.667279
0.020000,11.240428,1.004619,0.055083,0.337272,1.220186,2.262883,0.683727
0.020000,11.246012,1.009250,0.062338,0.362729,1.272854,2.633399,0.700961
0.020000,11.251918,1.014327,0.070126,0.389390,1.333044,3.009537,0.718915
0.020000,11.258148,1.019883,0.078474,0.417414,1.401170,3.406263,0.737513
0.020000,11.264706,1.025958,0.087413,0.446949,1.476750,3.779014,0.756672
0.020000,11.271594,1.032591,0.096976,0.478141,1.559614,4.143222,0.776300
0.020000,11.278815,1.039827,0.107198,0.511126,1.649259,4.482215,0.796298
0.020000,11.286373,1.047710,0.118119,0.546021,1.744733,4.773700,0.816561
0.020000,11.294267,1.056288,0.129777,0.582922,1.845057,5.016217,0.836977
0.020000,11.302501,1.065611,0.142215,0.621903,1.949062,5.200233,0.857432
0.020000,11.311075,1.075727,0.155476,0.663012,2.055452,5.319500,0.877809
0.020000,11.319987,1.086685,0.169601,0.706270,2.162905,5.372658,0.897988
0.020000,11.329237,1.098536,0.184634,0.751669,2.269911,5.350301,0.917851
0.020000,11.338822,1.111327,0.200618,0.799182,2.375690,5.288954,0.937282
0.020000,11.348739,1.125104,0.217593,0.848758,2.478781,5.154541,0.956166
0.020000,11.358986,1.139911,0.235600,0.900329,2.578542,4.988055,0.974393
0.020000,11.369560,1.155788,0.254676,0.953814,2.674237,4.784755,0.991857
0.020000,11.380460,1.172775,0.274859,1.009136,2.766118,4.594041,1.008458
0.020000,11.391685,1.190905,0.296183,1.066206,2.853493,4.368754,1.024098
0.020000,11.403238,1.210212,0.318682,1.124950,2.937229,4.186796,1.038685
0.020000,11.415124,1.230722,0.342388,1.185300,3.017490,4.013076,1.052130
0.020000,11.427354,1.252463,0.367332,1.247213,3.095659,3.908461,1.064346
0.020000,11.439940,1.275457,0.393545,1.310660,3.172361,3.835072,1.075250
0.020000,11.452904,1.299724,0.421058,1.375644,3.249190,3.841452,1.084756
0.020000,11.466271,1.325283,0.449902,1.442195,3.327550,3.918031,1.092777
0.020000,11.480077,1.352152,0.480110,1.510379,3.409202,4.082582,1.099224
0.020000,11.494363,1.380345,0.511716,1.580305,3.496266,4.353169,1.103999
0.020000,11.509184,1.409877,0.544758,1.652113,3.590400,4.706721,1.107000
0.020000,11.524604,1.440761,0.579278,1.725996,3.694188,5.189416,1.108111
0.020000,11.540701,1.473011,0.615322,1.802195,3.809951,5.788127,1.107204
0.020000,11.557569,1.506637,0.652942,1.881002,3.940349,6.519897,1.104136
0.020000,11.575319,1.541650,0.692197,1.962763,4.088029,7.384015,1.098742
0.020000,11.594080,1.578058,0.733155,2.047879,4.255785,8.387777,1.090838
0.020000,11.614007,1.615864,0.775891,2.136806,4.446383,9.529922,1.080213
0.020000,11.635278,1.655066,0.820492,2.230042,4.661784,10.770059,1.066628
0.020000,11.658105,1.695649,0.867054,2.328119,4.903830,12.102270,1.049816
0.020000,11.682728,1.737586,0.915685,2.431557,5.171909,13.403964,1.029480
0.020000,11.709426,1.780824,0.966502,2.540829,5.463628,14.585945,1.005298
0.020000,11.738514,1.825278,1.019627,2.656261,5.771571,15.397148,0.976929
0.020000,11.770344,1.870815,1.075185,2.777913,6.082629,15.552899,0.944029
