dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.568058,0.352308,0.000198,0.019842,0.992103,49.605159,0.538911
0.020000,11.568397,0.352511,0.000594,0.019772,-0.003505,-49.780423,0.540004
0.020000,11.569614,0.353243,0.002014,0.071023,2.562559,128.303191,0.542188
0.020000,11.572666,0.355088,0.005580,0.178305,5.364088,140.076465,0.545462
0.020000,11.576724,0.357563,0.010334,0.237686,2.969044,-119.752198,0.549824
0.020000,11.581781,0.360681,0.016275,0.297030,2.967211,-0.091635,0.555273
0.020000,11.587824,0.364458,0.023401,0.356296,2.963276,-0.196742,0.561804
0.020000,11.594839,0.368911,0.031710,0.415454,2.957904,-0.268612,0.569411
0.020000,11.602809,0.374061,0.041199,0.474462,2.950406,-0.374895,0.578086
0.020000,11.611713,0.379933,0.051865,0.533287,2.941269,-0.456874,0.587818
0.020000,11.621527,0.386550,0.063701,0.591840,2.927626,-0.682128,0.598593
0.020000,11.632225,0.393939,0.076703,0.650060,2.911044,-0.829120,0.610393
0.020000,11.643773,0.402128,0.090860,0.707863,2.890117,-1.046351,0.623193
0.020000,11.656138,0.411145,0.106163,0.765142,2.863971,-1.307300,0.636966
0.020000,11.669278,0.421017,0.122598,0.821773,2.831546,-1.621233,0.651675
0.020000,11.683150,0.431772,0.140151,0.877642,2.793421,-1.906260,0.667279
0.020000,11.697706,0.443435,0.158803,0.932603,2.748065,-2.267788,0.683727
0.020000,11.712893,0.456030,0.178533,0.986513,2.695519,-2.627308,0.700961
0.020000,11.728656,0.469577,0.199318,1.039214,2.635032,-3.024328,0.718915
0.020000,11.744934,0.484093,0.221129,1.090561,2.567342,-3.384503,0.737513
0.020000,11.761667,0.499592,0.243937,1.140392,2.491578,-3.788212,0.756672
0.020000,11.778790,0.516080,0.267708,1.188564,2.408564,-4.150713,0.776300
0.020000,11.796239,0.533562,0.292407,1.234945,2.319075,-4.474417,0.796298
0.020000,11.813947,0.552032,0.317995,1.279417,2.223589,-4.774332,0.816561
0.020000,11.831852,0.571485,0.344433,1.321882,2.123239,-5.017492,0.836977
0.020000,11.849889,0.591904,0.371678,1.362267,2.019252,-5.199333,0.857432
0.020000,11.868001,0.613271,0.399689,1.400525,1.912923,-5.316448,0.877809
0.020000,11.886131,0.635562,0.428421,1.436638,1.805620,-5.365184,0.897988
0.020000,11.904229,0.658746,0.457834,1.470603,1.698255,-5.368213,0.917851
0.020000,11.922250,0.682792,0.487883,1.502461,1.592897,-5.267931,0.937282
0.020000,11.940156,0.707662,0.518528,1.532256,1.489750,-5.157350,0.956166
0.020000,11.957913,0.733317,0.549729,1.560056,1.390003,-4.987320,0.974393
0.020000,11.975496,0.759716,0.581448,1.585934,1.293924,-4.803978,0.991857
0.020000,11.992887,0.786816,0.613647,1.609987,1.202656,-4.563404,1.008458
0.020000,12.010073,0.814572,0.646293,1.632287,1.114980,-4.383811,1.024098
0.020000,12.027050,0.842938,0.679351,1.652916,1.031473,-4.175315,1.038685
0.020000,12.043818,0.871869,0.712790,1.671934,0.950869,-4.030223,1.052130
0.020000,12.060384,0.901316,0.746578,1.689395,0.873053,-3.890805,1.064346
0.020000,12.076762,0.931233,0.780684,1.705319,0.796224,-3.841442,1.075250
0.020000,12.092969,0.961569,0.815079,1.719708,0.719434,-3.839490,1.084756
0.020000,12.109028,0.992274,0.849729,1.732528,0.640983,-3.922531,1.092777
0.020000,12.124967,1.023293,0.884603,1.743712,0.559206,-4.088886,1.099224
0.020000,12.140816,1.054569,0.919667,1.753160,0.472434,-4.338595,1.103999
0.020000,12.156612,1.086042,0.954881,1.760722,0.378094,-4.716974,1.107000
0.020000,12.172391,1.117646,0.990205,1.766208,0.274291,-5.190160,1.108111
0.020000,12.188195,1.149309,1.025593,1.769377,0.158449,-5.792118,1.107204
0.020000,12.204067,1.180950,1.060991,1.769938,0.028026,-6.521137,1.104136
