dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.916271,0.328477,0.000200,0.019976,0.998816,49.940811,3.105115
0.020000,15.916159,0.328482,0.000311,0.005572,-0.720196,-85.950617,3.104807
0.020000,15.915936,0.328490,0.000534,0.011144,0.278569,49.938253,3.104192
0.020000,15.915274,0.328515,0.001197,0.033144,1.100019,41.072492,3.103268
0.020000,15.911635,0.328657,0.004839,0.182108,7.448193,317.408725,3.102037
0.020000,15.907086,0.328840,0.009392,0.227633,2.276258,-258.596775,3.100497
0.020000,15.901627,0.329070,0.014855,0.273164,2.276529,0.013538,3.098649
0.020000,15.895259,0.329350,0.021229,0.318697,2.276649,0.006025,3.096492
0.020000,15.887982,0.329688,0.028514,0.364257,2.278004,0.067753,3.094025
0.020000,15.879796,0.330089,0.036710,0.409807,2.277489,-0.025773,3.091250
0.020000,15.870701,0.330561,0.045818,0.455370,2.278177,0.034396,3.088164
0.020000,15.860697,0.331113,0.055836,0.500925,2.277733,-0.022200,3.084769
0.020000,15.849786,0.331754,0.066766,0.546493,2.278414,0.034087,3.081063
0.020000,15.837968,0.332494,0.078607,0.592057,2.278179,-0.011749,3.077048
0.020000,15.825244,0.333344,0.091360,0.637620,2.278180,0.000033,3.072721
0.020000,15.811615,0.334316,0.105024,0.683202,2.279089,0.045447,3.068085
0.020000,15.797082,0.335423,0.119599,0.728760,2.277895,-0.059694,3.063139
0.020000,15.781647,0.336677,0.135085,0.774307,2.277356,-0.026972,3.057883
0.020000,15.765311,0.338093,0.151482,0.819845,2.276877,-0.023928,3.052319
0.020000,15.748077,0.339687,0.168789,0.865352,2.275361,-0.075787,3.046447
0.020000,15.729948,0.341474,0.187006,0.910876,2.276204,0.042124,3.040269
0.020000,15.710926,0.343470,0.206133,0.956316,2.272015,-0.209419,3.033786
0.020000,15.691015,0.345693,0.226168,1.001747,2.271527,-0.024421,3.027001
0.020000,15.670218,0.348161,0.247110,1.047137,2.269523,-0.100221,3.019915
0.020000,15.648540,0.350894,0.268960,1.092470,2.266665,-0.142876,3.012533
0.020000,15.625986,0.353909,0.291714,1.137718,2.262396,-0.213434,3.004858
0.020000,15.602562,0.357227,0.315372,1.182902,2.259185,-0.160588,2.996893
0.020000,15.578274,0.360868,0.339932,1.227989,2.254323,-0.243099,2.988645
0.020000,15.553128,0.364855,0.365392,1.272987,2.249946,-0.218818,2.980118
0.020000,15.527132,0.369207,0.391749,1.317871,2.244169,-0.288868,2.971319
0.020000,15.500295,0.373946,0.419001,1.362612,2.237073,-0.354791,2.962254
0.020000,15.472626,0.379096,0.447146,1.407213,2.230047,-0.351313,2.952933
0.020000,15.444135,0.384677,0.476179,1.451647,2.221683,-0.418208,2.943364
0.020000,15.414832,0.390713,0.506097,1.495919,2.213592,-0.404558,2.933557
0.020000,15.384728,0.397226,0.536897,1.539988,2.203445,-0.507315,2.923522
0.020000,15.353837,0.404237,0.568574,1.583843,2.192750,-0.534741,2.913272
0.020000,15.322172,0.411770,0.601123,1.627448,2.180248,-0.625103,2.902819
0.020000,15.289746,0.419847,0.634539,1.670834,2.169297,-0.547588,2.892178
0.020000,15.256574,0.428488,0.668818,1.713927,2.154677,-0.730959,2.881362
0.020000,15.222673,0.437715,0.703952,1.756736,2.140466,-0.710578,2.870389
0.020000,15.188058,0.447547,0.739937,1.799241,2.125231,-0.761730,2.859274
0.020000,15.152745,0.458006,0.776766,1.841428,2.109373,-0.792932,2.848036
0.020000,15.116754,0.469110,0.814431,1.883263,2.091737,-0.881793,2.836694
0.020000,15.080101,0.480876,0.852926,1.924744,2.074051,-0.884285,2.825267
0.020000,15.042806,0.493322,0.892243,1.965854,2.055472,-0.928958,2.813777
0.020000,15.004887,0.506462,0.932375,2.006573,2.035956,-0.975775,2.802244
0.020000,14.966363,0.520313,0.973312,2.046889,2.015792,-1.008218,2.790691
0.020000,14.927255,0.534886,1.015048,2.086798,1.995450,-1.017100,2.779141
0.020000,14.887580,0.550194,1.057574,2.126279,1.974057,-1.069642,2.767616
0.020000,14.847358,0.566247,1.100880,2.165328,1.952484,-1.078655,2.756142
0.020000,14.806609,0.583053,1.144959,2.203939,1.930542,-1.097129,2.744741
0.020000,14.765351,0.600620,1.189801,2.242107,1.908405,-1.106845,2.733439
0.020000,14.723602,0.618952,1.235398,2.279825,1.885900,-1.125228,2.722261
0.020000,14.681381,0.638055,1.281740,2.317094,1.863435,-1.123233,2.711231
0.020000,14.638703,0.657929,1.328818,2.353911,1.840856,-1.128953,2.700374
0.020000,14.595586,0.678575,1.376624,2.390278,1.818360,-1.124811,2.689716
0.020000,14.552044,0.699993,1.425147,2.426196,1.795876,-1.124206,2.679280
0.020000,14.508092,0.722177,1.474381,2.461669,1.773672,-1.110208,2.669092
0.020000,14.463743,0.745125,1.524315,2.496700,1.751516,-1.107774,2.659176
0.020000,14.419009,0.768828,1.574941,2.531294,1.729727,-1.089486,2.649556
0.020000,14.373901,0.793280,1.626250,2.565456,1.708089,-1.081887,2.640256
0.020000,14.328428,0.818469,1.678234,2.599191,1.686770,-1.065933,2.631299
0.020000,14.282597,0.844384,1.730884,2.632505,1.665666,-1.055233,2.622710
0.020000,14.236416,0.871011,1.784192,2.665400,1.644774,-1.044568,2.614510
0.020000,14.189888,0.898336,1.838149,2.697884,1.624195,-1.028974,2.606724
0.020000,14.143019,0.926341,1.892749,2.729960,1.603788,-1.020321,2.599372
0.020000,14.095808,0.955008,1.947981,2.761629,1.583463,-1.016288,2.592478
0.020000,14.048257,0.984317,2.003839,2.792895,1.563279,-1.009170,2.586065
