dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.929471,0.690187,0.000200,0.019976,0.998816,49.940811,3.105115
0.020000,15.929471,0.690187,0.000999,0.059929,1.997632,49.940811,3.104807
0.020000,15.929471,0.690187,0.002597,0.099882,1.997632,-0.000000,3.104192
0.020000,15.929142,0.690199,0.004994,0.139834,1.997632,-0.000000,3.103268
0.020000,15.925948,0.690324,0.008190,0.179787,1.997632,0.000000,3.102037
0.020000,15.921956,0.690485,0.012186,0.219740,1.997632,-0.000000,3.100497
0.020000,15.917166,0.690686,0.016980,0.259692,1.997632,0.000000,3.098649
0.020000,15.911578,0.690932,0.022573,0.299645,1.997632,-0.000000,3.096492
0.020000,15.905193,0.691228,0.028966,0.339598,1.997632,0.000000,3.094025
0.020000,15.898010,0.691580,0.036157,0.379550,1.997632,-0.000000,3.091250
0.020000,15.890030,0.691995,0.044148,0.419503,1.997632,0.000000,3.088164
0.020000,15.881254,0.692479,0.052937,0.459455,1.997632,0.000000,3.084769
0.020000,15.871682,0.693041,0.062526,0.499408,1.997632,0.000000,3.081063
0.020000,15.861314,0.693690,0.072914,0.539361,1.997632,0.000000,3.077048
0.020000,15.850153,0.694436,0.084100,0.579313,1.997632,0.000000,3.072721
0.020000,15.838197,0.695289,0.096086,0.619266,1.997632,0.000000,3.068085
0.020000,15.825449,0.696259,0.108871,0.659219,1.997632,-0.000000,3.063139
0.020000,15.811910,0.697359,0.122455,0.699171,1.997632,-0.000000,3.057883
0.020000,15.797581,0.698602,0.136838,0.739124,1.997632,0.000000,3.052319
0.020000,15.782463,0.700000,0.152020,0.779077,1.997632,0.000000,3.046447
0.020000,15.766559,0.701567,0.168001,0.819029,1.997632,-0.000000,3.040269
0.020000,15.749871,0.703319,0.184781,0.858982,1.997632,0.000000,3.033786
0.020000,15.732401,0.705269,0.202360,0.898935,1.997632,-0.000000,3.027001
0.020000,15.714150,0.707435,0.220738,0.938887,1.997632,0.000000,3.019915
0.020000,15.695124,0.709833,0.239916,0.978840,1.997632,0.000000,3.012533
0.020000,15.675323,0.712480,0.259892,1.018793,1.997632,-0.000000,3.004858
0.020000,15.654753,0.715394,0.280667,1.058745,1.997632,0.000000,2.996893
0.020000,15.633418,0.718593,0.302242,1.098698,1.997632,0.000000,2.988645
0.020000,15.611320,0.722096,0.324615,1.138650,1.997632,-0.000000,2.980118
0.020000,15.588466,0.725922,0.347788,1.178603,1.997632,0.000000,2.971319
0.020000,15.564860,0.730091,0.371759,1.218556,1.997632,-0.000000,2.962254
0.020000,15.540507,0.734624,0.396530,1.258508,1.997632,0.000000,2.952933
0.020000,15.515415,0.739539,0.422100,1.298461,1.997632,0.000000,2.943364
0.020000,15.489588,0.744859,0.448468,1.338414,1.997632,-0.000000,2.933557
0.020000,15.463035,0.750604,0.475636,1.378366,1.997632,0.000000,2.923522
