dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.942671,1.051896,0.000200,0.019976,0.998816,49.940811,3.105115
0.020000,15.942782,1.051892,0.000311,0.005572,-0.720196,-85.950617,3.104807
0.020000,15.943005,1.051884,0.000534,0.011144,0.278569,49.938253,3.104192
0.020000,15.943010,1.051883,0.000540,0.000284,-0.543001,-41.078486,3.103268
0.020000,15.940262,1.051991,0.003290,0.137533,6.862477,370.273909,3.102037
0.020000,15.936827,1.052129,0.006728,0.171902,1.718427,-257.202513,3.100497
0.020000,15.932705,1.052302,0.010854,0.206266,1.718221,-0.010296,3.098649
0.020000,15.927897,1.052514,0.015666,0.240623,1.717856,-0.018270,3.096492
0.020000,15.922403,1.052769,0.021166,0.274991,1.718396,0.027025,3.094025
0.020000,15.916224,1.053072,0.027353,0.309342,1.717522,-0.043723,3.091250
0.020000,15.909359,1.053428,0.034227,0.343693,1.717580,0.002919,3.088164
0.020000,15.901810,1.053845,0.041787,0.378030,1.716839,-0.037042,3.084769
0.020000,15.893577,1.054328,0.050035,0.412371,1.717038,0.009923,3.081063
0.020000,15.884660,1.054887,0.058969,0.446704,1.716673,-0.018264,3.077048
0.020000,15.875061,1.055528,0.068590,0.481037,1.716656,-0.000852,3.072721
0.020000,15.864779,1.056261,0.078897,0.515388,1.717540,0.044242,3.068085
0.020000,15.853816,1.057096,0.089892,0.549730,1.717106,-0.021722,3.063139
0.020000,15.842173,1.058042,0.101574,0.584080,1.717487,0.019039,3.057883
0.020000,15.829850,1.059110,0.113943,0.618446,1.718293,0.040324,3.052319
0.020000,15.816849,1.060313,0.126999,0.652821,1.718759,0.023304,3.046447
0.020000,15.803171,1.061661,0.140744,0.687251,1.721513,0.137666,3.040269
0.020000,15.788816,1.063167,0.155177,0.721672,1.721048,-0.023235,3.033786
0.020000,15.773786,1.064845,0.170301,0.756153,1.724025,0.148862,3.027001
0.020000,15.758083,1.066709,0.186114,0.790685,1.726585,0.127993,3.019915
0.020000,15.741707,1.068773,0.202620,0.825271,1.729305,0.136020,3.012533
0.020000,15.724661,1.071052,0.219818,0.859908,1.731844,0.126917,3.004858
0.020000,15.706945,1.073562,0.237710,0.894631,1.736146,0.215113,2.996893
0.020000,15.688562,1.076318,0.256299,0.929435,1.740248,0.205097,2.988645
0.020000,15.669512,1.079338,0.275586,0.964352,1.745846,0.279906,2.980118
0.020000,15.649799,1.082638,0.295574,0.999384,1.751593,0.287323,2.971319
0.020000,15.629424,1.086236,0.316265,1.034537,1.757624,0.301579,2.962254
0.020000,15.608388,1.090151,0.337661,1.069838,1.765066,0.372115,2.952933
0.020000,15.586695,1.094401,0.359767,1.105296,1.772919,0.392620,2.943364
0.020000,15.564345,1.099005,0.382586,1.140946,1.782469,0.477493,2.933557
0.020000,15.541341,1.103981,0.406122,1.176786,1.791996,0.476371,2.923522
0.020000,15.517686,1.109351,0.430379,1.212840,1.802691,0.534737,2.913272
0.020000,15.493382,1.115133,0.455361,1.249112,1.813621,0.546500,2.902819
0.020000,15.468431,1.121347,0.481074,1.285660,1.827384,0.688179,2.892178
0.020000,15.442836,1.128015,0.507523,1.322459,1.839983,0.629909,2.881362
0.020000,15.416600,1.135155,0.534714,1.359550,1.854537,0.727702,2.870389
0.020000,15.389724,1.142790,0.562653,1.396949,1.869926,0.769488,2.859274
0.020000,15.362212,1.150938,0.591347,1.434677,1.886424,0.824865,2.848036
0.020000,15.334066,1.159622,0.620802,1.472739,1.903075,0.832551,2.836694
0.020000,15.305289,1.168860,0.651025,1.511162,1.921154,0.903966,2.825267
0.020000,15.275884,1.178672,0.682024,1.549960,1.939921,0.938361,2.813777
0.020000,15.245854,1.189080,0.713807,1.589145,1.959240,0.965942,2.802244
0.020000,15.215200,1.200101,0.746381,1.628729,1.979222,0.999098,2.790691
0.020000,15.183926,1.211755,0.779756,1.668732,2.000119,1.044858,2.779141
0.020000,15.152035,1.224060,0.813939,1.709154,2.021101,1.049090,2.767616
0.020000,15.119528,1.237034,0.848939,1.750008,2.042719,1.080894,2.756142
