dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.163930,7.913729,0.000199,0.019940,0.996993,49.849641,0.000594
0.020000,0.163966,7.913729,0.000235,0.001802,-0.906893,-95.194288,0.000494
0.020000,0.164038,7.913729,0.000308,0.003604,0.090084,49.848843,0.000295
0.020000,0.164174,7.913729,0.000443,0.006784,0.159003,3.445966,6.283182
0.020000,0.167509,7.913728,0.003778,0.166729,7.997239,391.911813,6.282784
0.020000,0.171677,7.913726,0.007946,0.208404,2.083775,-295.673247,6.282286
0.020000,0.176678,7.913720,0.012947,0.250082,2.083909,0.006732,6.281689
0.020000,0.182513,7.913709,0.018783,0.291760,2.083886,-0.001160,6.280993
0.020000,0.189182,7.913692,0.025451,0.333434,2.083695,-0.009531,6.280197
0.020000,0.196684,7.913666,0.032954,0.375112,2.083906,0.010544,6.279302
0.020000,0.205020,7.913629,0.041289,0.416781,2.083469,-0.021843,6.278309
0.020000,0.214189,7.913580,0.050458,0.458457,2.083774,0.015248,6.277216
0.020000,0.224191,7.913514,0.060461,0.500123,2.083316,-0.022918,6.276024
0.020000,0.235027,7.913429,0.071297,0.541788,2.083253,-0.003155,6.274734
0.020000,0.246695,7.913323,0.082966,0.583449,2.083022,-0.011558,6.273345
0.020000,0.259197,7.913190,0.095468,0.625116,2.083345,0.016146,6.271857
0.020000,0.272531,7.913029,0.108803,0.666765,2.082461,-0.044176,6.270272
0.020000,0.286698,7.912834,0.122972,0.708424,2.082979,0.025892,6.268589
0.020000,0.301698,7.912602,0.137973,0.750070,2.082297,-0.034094,6.266807
0.020000,0.317530,7.912327,0.153807,0.791713,2.082159,-0.006913,6.264929
0.020000,0.334194,7.912007,0.170474,0.833350,2.081851,-0.015373,6.262953
0.020000,0.351689,7.911634,0.187974,0.874989,2.081935,0.004185,6.260880
0.020000,0.370017,7.911206,0.206306,0.916613,2.081197,-0.036907,6.258711
0.020000,0.389175,7.910715,0.225471,0.958239,2.081286,0.004455,6.256445
0.020000,0.409164,7.910157,0.245468,0.999852,2.080644,-0.032094,6.254083
0.020000,0.429984,7.909525,0.266297,1.041459,2.080379,-0.013238,6.251626
0.020000,0.451633,7.908814,0.287959,1.083058,2.079944,-0.021745,6.249074
0.020000,0.474112,7.908017,0.310452,1.124649,2.079554,-0.019535,6.246427
0.020000,0.497420,7.907128,0.333776,1.166235,2.079284,-0.013503,6.243687
0.020000,0.521556,7.906140,0.357932,1.207806,2.078553,-0.036527,6.240852
0.020000,0.546519,7.905046,0.382920,1.249367,2.078071,-0.024103,6.237925
0.020000,0.572310,7.903839,0.408738,1.290920,2.077617,-0.022730,6.234905
0.020000,0.598926,7.902511,0.435387,1.332460,2.076992,-0.031220,6.231794
0.020000,0.626367,7.901056,0.462867,1.373984,2.076208,-0.039229,6.228591
0.020000,0.654632,7.899464,0.491177,1.415501,2.075886,-0.016073,6.225299
0.020000,0.683720,7.897729,0.520317,1.456997,2.074769,-0.055871,6.221916
0.020000,0.713630,7.895842,0.550287,1.498482,2.074238,-0.026553,6.218445
0.020000,0.744361,7.893795,0.581086,1.539952,2.073512,-0.036266,6.214887
0.020000,0.775912,7.891579,0.612714,1.581405,2.072644,-0.043425,6.211241
0.020000,0.808280,7.889185,0.645170,1.622837,2.071604,-0.051979,6.207510
0.020000,0.841465,7.886606,0.678455,1.664249,2.070633,-0.048565,6.203694
0.020000,0.875465,7.883830,0.712568,1.705645,2.069781,-0.042601,6.199794
0.020000,0.910278,7.880851,0.747509,1.747020,2.068748,-0.051661,6.195811
0.020000,0.945902,7.877657,0.783276,1.788370,2.067520,-0.061403,6.191748
0.020000,0.982336,7.874240,0.819870,1.829698,2.066360,-0.057994,6.187604
0.020000,1.019578,7.870590,0.857290,1.871006,2.065409,-0.047518,6.183381
0.020000,1.057625,7.866698,0.895536,1.912280,2.063702,-0.085361,6.179081
0.020000,1.096475,7.862553,0.934607,1.953536,2.062796,-0.045302,6.174706
0.020000,1.136126,7.858145,0.974502,1.994758,2.061123,-0.083640,6.170256
0.020000,1.176575,7.853465,1.015221,2.035953,2.059726,-0.069863,6.165733
0.020000,1.217820,7.848502,1.056763,2.077116,2.058180,-0.077281,6.161139
0.020000,1.259858,7.843246,1.099128,2.118251,2.056732,-0.072434,6.156476
0.020000,1.302686,7.837687,1.142315,2.159350,2.054935,-0.089838,6.151746
0.020000,1.346301,7.831815,1.186323,2.200417,2.053351,-0.079182,6.146950
0.020000,1.390699,7.825618,1.231152,2.241446,2.051464,-0.094379,6.142091
0.020000,1.435878,7.819088,1.276801,2.282439,2.049659,-0.090242,6.137170
0.020000,1.481835,7.812212,1.323269,2.323394,2.047724,-0.096755,6.132189
0.020000,1.528565,7.804981,1.370555,2.364310,2.045824,-0.094994,6.127152
0.020000,1.576065,7.797385,1.418659,2.405185,2.043718,-0.105295,6.122059
0.020000,1.624331,7.789412,1.467579,2.446018,2.041674,-0.102190,6.116914
0.020000,1.673360,7.781053,1.517315,2.486807,2.039438,-0.111809,6.111718
0.020000,1.723147,7.772297,1.567866,2.527551,2.037227,-0.110564,6.106475
0.020000,1.773688,7.763133,1.619231,2.568249,2.034909,-0.115867,6.101186
0.020000,1.824979,7.753553,1.671409,2.608902,2.032629,-0.114024,6.095855
0.020000,1.877015,7.743544,1.724400,2.649504,2.030105,-0.126190,6.090484
0.020000,1.929792,7.733097,1.778201,2.690059,2.027727,-0.118897,6.085075
0.020000,1.983306,7.722203,1.832812,2.730561,2.025116,-0.130583,6.079632
0.020000,2.037551,7.710851,1.888232,2.771012,2.022535,-0.129040,6.074158
0.020000,2.092523,7.699032,1.944460,2.811409,2.019885,-0.132481,6.068655
0.020000,2.148217,7.686735,2.001495,2.851754,2.017229,-0.132822,6.063126
0.020000,2.204627,7.673952,2.059336,2.892042,2.014407,-0.141105,6.057574
0.020000,2.261750,7.660674,2.117982,2.932275,2.011653,-0.137693,6.052004
0.020000,2.319579,7.646891,2.177431,2.972451,2.008793,-0.142992,6.046416
0.020000,2.378109,7.632594,2.237682,3.012569,2.005898,-0.144740,6.040816
0.020000,2.437336,7.617774,2.298735,3.052629,2.002975,-0.146178,6.035205
0.020000,2.497254,7.602424,2.360587,3.092628,1.999999,-0.148795,6.029588
0.020000,2.557857,7.586535,2.423239,3.132568,1.996997,-0.150087,6.023968
0.020000,2.619140,7.570099,2.486688,3.172448,1.993966,-0.151547,6.018348
0.020000,2.681098,7.553108,2.550933,3.212266,1.990893,-0.153653,6.012731
0.020000,2.743725,7.535555,2.615973,3.252021,1.987793,-0.155019,6.007121
0.020000,2.807016,7.517433,2.681808,3.291715,1.984680,-0.155638,6.001521
0.020000,2.870965,7.498734,2.748435,3.331346,1.981568,-0.155583,5.995935
0.020000,2.935567,7.479453,2.815853,3.370914,1.978367,-0.160062,5.990366
0.020000,3.000817,7.459583,2.884061,3.410419,1.975245,-0.156104,5.984818
0.020000,3.066710,7.439118,2.953058,3.449859,1.972040,-0.160229,5.979294
0.020000,3.133239,7.418053,3.022843,3.489236,1.968839,-0.160068,5.973798
0.020000,3.200400,7.396381,3.093414,3.528549,1.965653,-0.159303,5.968333
0.020000,3.268188,7.374100,3.164770,3.567799,1.962492,-0.158017,5.962903
0.020000,3.336597,7.351202,3.236910,3.606983,1.959202,-0.164531,5.957512
0.020000,3.405624,7.327686,3.309832,3.646105,1.956100,-0.155104,5.952162
0.020000,3.475262,7.303546,3.383535,3.685162,1.952862,-0.161900,5.946858
0.020000,3.545507,7.278780,3.458018,3.724155,1.949651,-0.160521,5.941603
0.020000,3.616354,7.253384,3.533280,3.763085,1.946477,-0.158712,5.936400
0.020000,3.687799,7.227355,3.609319,3.801952,1.943346,-0.156562,5.931253
