dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.164145,7.551779,0.000199,0.019940,0.996993,49.849641,0.000594
0.020000,0.164145,7.551779,0.000997,0.059820,1.993986,49.849641,0.000494
0.020000,0.164145,7.551779,0.002592,0.099699,1.993986,-0.000000,0.000295
0.020000,0.164173,7.551779,0.004985,0.139579,1.993986,0.000000,6.283182
0.020000,0.167363,7.551778,0.008175,0.179459,1.993986,-0.000000,6.282784
0.020000,0.171351,7.551776,0.012163,0.219338,1.993986,0.000000,6.282286
0.020000,0.176137,7.551770,0.016949,0.259218,1.993986,-0.000000,6.281689
0.020000,0.181720,7.551760,0.022532,0.299098,1.993986,0.000000,6.280993
0.020000,0.188101,7.551743,0.028913,0.338978,1.993986,-0.000000,6.280197
0.020000,0.195279,7.551719,0.036091,0.378857,1.993986,0.000000,6.279302
0.020000,0.203255,7.551684,0.044067,0.418737,1.993986,0.000000,6.278309
0.020000,0.212028,7.551636,0.052841,0.458617,1.993986,0.000000,6.277216
0.020000,0.221599,7.551573,0.062412,0.498496,1.993986,0.000000,6.276024
0.020000,0.231968,7.551492,0.072780,0.538376,1.993986,0.000000,6.274734
0.020000,0.243133,7.551390,0.083947,0.578256,1.993986,-0.000000,6.273345
0.020000,0.255097,7.551264,0.095911,0.618136,1.993986,0.000000,6.271857
0.020000,0.267857,7.551109,0.108672,0.658015,1.993986,0.000000,6.270272
0.020000,0.281415,7.550922,0.122231,0.697895,1.993986,-0.000000,6.268589
0.020000,0.295770,7.550700,0.136588,0.737775,1.993986,0.000000,6.266807
0.020000,0.310922,7.550438,0.151742,0.777654,1.993986,0.000000,6.264929
0.020000,0.326871,7.550131,0.167694,0.817534,1.993986,0.000000,6.262953
0.020000,0.343617,7.549774,0.184444,0.857414,1.993986,0.000000,6.260880
0.020000,0.361159,7.549364,0.201991,0.897294,1.993986,0.000000,6.258711
0.020000,0.379498,7.548894,0.220335,0.937173,1.993986,0.000000,6.256445
0.020000,0.398632,7.548360,0.239478,0.977053,1.993986,0.000000,6.254083
0.020000,0.418563,7.547755,0.259418,1.016933,1.993986,0.000000,6.251626
0.020000,0.439289,7.547074,0.280155,1.056812,1.993986,0.000000,6.249074
0.020000,0.460811,7.546311,0.301690,1.096692,1.993986,0.000000,6.246427
0.020000,0.483127,7.545460,0.324023,1.136572,1.993986,0.000000,6.243687
0.020000,0.506238,7.544514,0.347153,1.176452,1.993986,0.000000,6.240852
0.020000,0.530143,7.543466,0.371081,1.216331,1.993986,0.000000,6.237925
0.020000,0.554841,7.542310,0.395806,1.256211,1.993986,0.000000,6.234905
0.020000,0.580333,7.541039,0.421329,1.296091,1.993986,-0.000000,6.231794
0.020000,0.606616,7.539645,0.447650,1.335970,1.993986,0.000000,6.228591
0.020000,0.633692,7.538120,0.474768,1.375850,1.993986,-0.000000,6.225299
0.020000,0.661558,7.536458,0.502684,1.415730,1.993986,0.000000,6.221916
0.020000,0.690214,7.534650,0.531397,1.455610,1.993986,0.000000,6.218445
0.020000,0.719660,7.532689,0.560908,1.495489,1.993986,0.000000,6.214887
0.020000,0.749894,7.530565,0.591217,1.535369,1.993986,0.000000,6.211241
0.020000,0.780915,7.528271,0.622323,1.575249,1.993986,0.000000,6.207510
0.020000,0.812723,7.525799,0.654227,1.615128,1.993986,-0.000000,6.203694
0.020000,0.845316,7.523138,0.686928,1.655008,1.993986,0.000000,6.199794
0.020000,0.878693,7.520281,0.720427,1.694888,1.993986,-0.000000,6.195811
0.020000,0.912853,7.517219,0.754724,1.734768,1.993986,-0.000000,6.191748
0.020000,0.947793,7.513942,0.789818,1.774647,1.993986,0.000000,6.187604
0.020000,0.983514,7.510441,0.825709,1.814527,1.993986,-0.000000,6.183381
0.020000,1.020013,7.506707,0.862399,1.854407,1.993986,-0.000000,6.179081
0.020000,1.057288,7.502730,0.899886,1.894286,1.993986,0.000000,6.174706
0.020000,1.095338,7.498500,0.938170,1.934166,1.993986,-0.000000,6.170256
0.020000,1.134161,7.494008,0.977252,1.974046,1.993986,0.000000,6.165733
0.020000,1.173755,7.489244,1.017132,2.013926,1.993986,0.000000,6.161139
0.020000,1.214118,7.484198,1.057809,2.053805,1.993986,0.000000,6.156476
0.020000,1.255248,7.478859,1.099284,2.093685,1.993986,-0.000000,6.151746
0.020000,1.297143,7.473218,1.141557,2.133565,1.993986,0.000000,6.146950
0.020000,1.339799,7.467265,1.184627,2.173444,1.993986,-0.000000,6.142091
0.020000,1.383216,7.460989,1.228495,2.213324,1.993986,0.000000,6.137170
0.020000,1.427389,7.454380,1.273160,2.253204,1.993986,0.000000,6.132189
0.020000,1.472317,7.447428,1.318623,2.293084,1.993986,0.000000,6.127152
0.020000,1.517997,7.440123,1.364883,2.332963,1.993986,-0.000000,6.122059
0.020000,1.564426,7.432454,1.411941,2.372843,1.993986,0.000000,6.116914
0.020000,1.611601,7.424411,1.459797,2.412723,1.993986,-0.000000,6.111718
0.020000,1.659519,7.415983,1.508450,2.452602,1.993986,0.000000,6.106475
0.020000,1.708176,7.407161,1.557901,2.492482,1.993986,0.000000,6.101186
0.020000,1.757570,7.397935,1.608149,2.532362,1.993986,-0.000000,6.095855
0.020000,1.807698,7.388293,1.659195,2.572241,1.993986,0.000000,6.090484
0.020000,1.858554,7.378227,1.711039,2.612121,1.993986,0.000000,6.085075
0.020000,1.910137,7.367726,1.763680,2.652001,1.993986,-0.000000,6.079632
0.020000,1.962443,7.356780,1.817119,2.691881,1.993986,0.000000,6.074158
0.020000,2.015468,7.345379,1.871356,2.731760,1.993986,0.000000,6.068655
0.020000,2.069207,7.333514,1.926390,2.771640,1.993986,0.000000,6.063126
0.020000,2.123658,7.321175,1.982221,2.811520,1.993986,-0.000000,6.057574
0.020000,2.178817,7.308353,2.038850,2.851399,1.993986,0.000000,6.052004
0.020000,2.234679,7.295039,2.096277,2.891279,1.993986,0.000000,6.046416
0.020000,2.291240,7.281223,2.154501,2.931159,1.993986,-0.000000,6.040816
0.020000,2.348497,7.266896,2.213523,2.971039,1.993986,0.000000,6.035205
0.020000,2.406445,7.252051,2.273343,3.010918,1.993986,0.000000,6.029588
0.020000,2.465080,7.236677,2.333960,3.050798,1.993986,-0.000000,6.023968
0.020000,2.524399,7.220768,2.395375,3.090678,1.993986,0.000000,6.018348
0.020000,2.584396,7.204315,2.457587,3.130557,1.993986,0.000000,6.012731
0.020000,2.645068,7.187310,2.520597,3.170437,1.993986,0.000000,6.007121
0.020000,2.706410,7.169746,2.584405,3.210317,1.993986,-0.000000,6.001521
0.020000,2.768419,7.151615,2.649010,3.250197,1.993986,0.000000,5.995935
0.020000,2.831090,7.132910,2.714413,3.290076,1.993986,-0.000000,5.990366
0.020000,2.894418,7.113625,2.780613,3.329956,1.993986,0.000000,5.984818
0.020000,2.958401,7.093753,2.847611,3.369836,1.993986,0.000000,5.979294
0.020000,3.023034,7.073288,2.915406,3.409715,1.993986,0.000000,5.973798
0.020000,3.088313,7.052224,2.984000,3.449595,1.993986,-0.000000,5.968333
0.020000,3.154234,7.030556,3.053390,3.489475,1.993986,0.000000,5.962903
0.020000,3.220793,7.008278,3.123579,3.529355,1.993986,0.000000,5.957512
0.020000,3.287986,6.985386,3.194564,3.569234,1.993986,-0.000000,5.952162
0.020000,3.355810,6.961875,3.266348,3.609114,1.993986,0.000000,5.946858
0.020000,3.424261,6.937741,3.338929,3.648994,1.993986,0.000000,5.941603
0.020000,3.493336,6.912981,3.412308,3.688873,1.993986,-0.000000,5.936400
0.020000,3.563031,6.887590,3.486484,3.728753,1.993986,0.000000,5.931253
0.020000,3.633343,6.861566,3.561458,3.768633,1.993986,0.000000,5.926166
0.020000,3.704270,6.834906,3.637229,3.808513,1.993986,-0.000000,5.921142
0.020000,3.775807,6.807608,3.713798,3.848392,1.993986,0.000000,5.916184
0.020000,3.847954,6.779671,3.791165,3.888272,1.993986,0.000000,5.911296
0.020000,3.920706,6.751092,3.869329,3.928152,1.993986,-0.000000,5.906481
0.020000,3.994062,6.721870,3.948291,3.968031,1.993986,0.000000,5.901743
0.020000,4.068019,6.692006,4.028050,4.007911,1.993986,0.000000,5.897085
0.020000,4.142576,6.661499,4.108607,4.047791,1.993986,-0.000000,5.892511
0.020000,4.217546,6.630425,4.189763,4.067731,0.996993,-49.849641,5.888034
0.020000,4.292445,6.598993,4.270990,4.054968,-0.638140,-81.756651,5.883685
0.020000,4.366791,6.567419,4.351762,4.022265,-1.635133,-49.849641,5.879491
0.020000,4.440339,6.535827,4.431808,3.982386,-1.993986,-17.942632,5.875461
0.020000,4.513030,6.504262,4.511057,3.942506,-1.993986,0.000000,5.871597
0.020000,4.584871,6.472742,4.589509,3.902626,-1.993986,0.000000,5.867892
0.020000,4.655868,6.441285,4.667162,3.862746,-1.993986,-0.000000,5.864343
0.020000,4.726027,6.409908,4.744019,3.822867,-1.993986,0.000000,5.860946
0.020000,4.795355,6.378625,4.820077,3.782987,-1.993986,0.000000,5.857697
0.020000,4.860682,6.348691,4.895338,3.743107,-1.993986,-0.000000,5.846254
0.020000,4.927909,6.316671,4.969801,3.703228,-1.993986,0.000000,5.831595
0.020000,4.993994,6.284123,5.043467,3.663348,-1.993986,0.000000,5.819943
0.020000,5.059028,6.251256,5.116335,3.623468,-1.993986,-0.000000,5.810937
0.020000,5.123095,6.218247,5.188406,3.583588,-1.993986,0.000000,5.804298
0.020000,5.186271,6.185253,5.259679,3.543709,-1.993986,0.000000,5.799814
0.020000,5.248627,6.152410,5.330154,3.503829,-1.993986,0.000000,5.797327
0.020000,5.310226,6.119845,5.399832,3.463949,-1.993986,-0.000000,5.796724
0.020000,5.371130,6.087671,5.468712,3.424070,-1.993986,0.000000,5.797931
0.020000,5.431396,6.055996,5.536795,3.384190,-1.993986,0.000000,5.800906
0.020000,5.491075,6.024921,5.604080,3.344310,-1.993986,-0.000000,5.805640
0.020000,5.550219,5.994547,5.670567,3.304430,-1.993986,0.000000,5.812152
0.020000,5.608874,5.964971,5.736257,3.264551,-1.993986,0.000000,5.820492
0.020000,5.667085,5.936294,5.801149,3.224671,-1.993986,-0.000000,5.830738
0.020000,5.724896,5.908617,5.865244,3.184791,-1.993986,0.000000,5.842998
0.020000,5.782346,5.882048,5.928541,3.144912,-1.993986,0.000000,5.857418
0.020000,5.839474,5.856700,5.991040,3.105032,-1.993986,-0.000000,5.874179
0.020000,5.896314,5.832696,6.052742,3.065152,-1.993986,0.000000,5.893503
0.020000,5.952898,5.810169,6.113646,3.025272,-1.993986,0.000000,5.915661
0.020000,6.009252,5.789267,6.173753,2.985393,-1.993986,-0.000000,5.940977
0.020000,6.065394,5.770154,6.233062,2.945513,-1.993986,0.000000,5.969832
0.020000,6.121336,5.753013,6.291574,2.905633,-1.993986,0.000000,6.002671
0.020000,6.177073,5.738050,6.349287,2.865754,-1.993986,-0.000000,6.040002
0.020000,6.232582,5.725492,6.406204,2.825874,-1.993986,0.000000,6.082388
0.020000,6.287815,5.715593,6.462322,2.785994,-1.993986,0.000000,6.130429
0.020000,6.342690,5.708630,6.517643,2.746114,-1.993986,-0.000000,6.184718
0.020000,6.397076,5.704893,6.572167,2.706235,-1.993986,0.000000,6.245766
0.020000,6.450791,5.704676,6.625893,2.666355,-1.993986,0.000000,0.030703
0.020000,6.503586,5.708251,6.678821,2.626475,-1.993986,0.000000,0.105861
0.020000,6.555147,5.715837,6.730952,2.586596,-1.993986,-0.000000,0.187487
0.020000,6.605108,5.727558,6.782285,2.546716,-1.993986,0.000000,0.274356
0.020000,6.653075,5.743409,6.832821,2.506836,-1.993986,-0.000000,0.364577
0.020000,6.698673,5.763232,6.882558,2.466956,-1.993986,0.000000,0.455766
0.020000,6.741591,5.786717,6.931499,2.427077,-1.993986,0.000000,0.545405
0.020000,6.781620,5.813437,6.979642,2.387197,-1.993986,0.000000,0.631241
0.020000,6.818666,5.842897,7.026987,2.347317,-1.993986,-0.000000,0.711590
0.020000,6.852749,5.874584,7.073534,2.307438,-1.993986,0.000000,0.785454
0.020000,6.883974,5.908009,7.119284,2.267558,-1.993986,-0.000000,0.852458
0.020000,6.912505,5.942737,7.164237,2.227678,-1.993986,0.000000,0.912706
0.020000,6.938541,5.978393,7.208391,2.187798,-1.993986,0.000000,0.966598
0.020000,6.962291,6.014662,7.251748,2.147919,-1.993986,0.000000,1.014694
0.020000,6.983963,6.051286,7.294308,2.108039,-1.993986,0.000000,1.057602
0.020000,7.003753,6.088058,7.336070,2.068159,-1.993986,-0.000000,1.095929
0.020000,7.021845,6.124808,7.377034,2.028280,-1.993986,0.000000,1.130237
0.020000,7.038404,6.161402,7.417201,1.988400,-1.993986,-0.000000,1.161031
0.020000,7.053578,6.197727,7.456570,1.948520,-1.993986,0.000000,1.188754
0.020000,7.067503,6.233697,7.495142,1.908640,-1.993986,-0.000000,1.213793
0.020000,7.080296,6.269238,7.532916,1.868761,-1.993986,-0.000000,1.236480
0.020000,7.092063,6.304290,7.569892,1.828881,-1.993986,0.000000,1.257100
0.020000,7.102900,6.338808,7.606071,1.789001,-1.993986,-0.000000,1.275900
0.020000,7.112888,6.372749,7.641453,1.749122,-1.993986,0.000000,1.293090
0.020000,7.122104,6.406083,7.676036,1.709242,-1.993986,0.000000,1.308852
0.020000,7.130614,6.438779,7.709822,1.669362,-1.993986,-0.000000,1.323341
0.020000,7.138479,6.470816,7.742811,1.629482,-1.993986,0.000000,1.336692
0.020000,7.145751,6.502173,7.775001,1.589603,-1.993986,-0.000000,1.349021
0.020000,7.152480,6.532837,7.806395,1.549723,-1.993986,-0.000000,1.360431
0.020000,7.158709,6.562791,7.836990,1.509843,-1.993986,0.000000,1.371010
0.020000,7.164478,6.592026,7.866788,1.469964,-1.993986,-0.000000,1.380836
0.020000,7.169823,6.620529,7.895789,1.430084,-1.993986,-0.000000,1.389975
0.020000,7.174776,6.648294,7.923992,1.390204,-1.993986,0.000000,1.398490
0.020000,7.179367,6.675312,7.951397,1.350324,-1.993986,-0.000000,1.406432
0.020000,7.183622,6.701576,7.978005,1.310445,-1.993986,0.000000,1.413847
0.020000,7.187568,6.727085,8.003815,1.270565,-1.993986,0.000000,1.420779
0.020000,7.191225,6.751827,8.028827,1.230685,-1.993986,0.000000,1.427263
0.020000,7.194616,6.775803,8.053042,1.190806,-1.993986,0.000000,1.433333
0.020000,7.197758,6.799008,8.076460,1.150926,-1.993986,0.000000,1.439019
0.020000,7.200671,6.821441,8.099079,1.111046,-1.993986,-0.000000,1.444346
0.020000,7.203368,6.843095,8.120901,1.071167,-1.993986,0.000000,1.449340
0.020000,7.205866,6.863971,8.141926,1.031287,-1.993986,-0.000000,1.454020
0.020000,7.208179,6.884064,8.162153,0.991407,-1.993986,0.000000,1.458408
0.020000,7.210318,6.903375,8.181582,0.951527,-1.993986,0.000000,1.462519
0.020000,7.212296,6.921902,8.200214,0.911648,-1.993986,-0.000000,1.466371
0.020000,7.214122,6.939642,8.218048,0.871768,-1.993986,0.000000,1.469977
0.020000,7.215809,6.956597,8.235085,0.831888,-1.993986,-0.000000,1.473351
0.020000,7.217363,6.972759,8.251324,0.792009,-1.993986,0.000000,1.476503
0.020000,7.218794,6.988136,8.266765,0.752129,-1.993986,0.000000,1.479446
0.020000,7.220110,7.002720,8.281409,0.712249,-1.993986,0.000000,1.482188
0.020000,7.221318,7.016513,8.295255,0.672369,-1.993986,0.000000,1.484738
0.020000,7.222424,7.029515,8.308304,0.632490,-1.993986,0.000000,1.487105
0.020000,7.223434,7.041725,8.320555,0.592610,-1.993986,-0.000000,1.489296
0.020000,7.224355,7.053140,8.332008,0.552730,-1.993986,0.000000,1.491316
0.020000,7.225191,7.063763,8.342664,0.512851,-1.993986,0.000000,1.493174
0.020000,7.225947,7.073592,8.352522,0.472971,-1.993986,0.000000,1.494872
0.020000,7.226628,7.082628,8.361583,0.433091,-1.993986,0.000000,1.496417
0.020000,7.227236,7.090867,8.369846,0.393211,-1.993986,-0.000000,1.497813
0.020000,7.227776,7.098313,8.377311,0.353332,-1.993986,0.000000,1.499063
0.020000,7.228250,7.104964,8.383979,0.313452,-1.993986,0.000000,1.500171
0.020000,7.228661,7.110820,8.389849,0.273572,-1.993986,0.000000,1.501140
0.020000,7.229012,7.115883,8.394922,0.233693,-1.993986,0.000000,1.501973
0.020000,7.229305,7.120145,8.399197,0.193813,-1.993986,-0.000000,1.502670
