dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.164360,7.189829,0.000199,0.019940,0.996993,49.849641,0.000594
0.020000,0.164324,7.189829,0.000235,0.001802,-0.906893,-95.194288,0.000494
0.020000,0.164252,7.189829,0.000308,0.003604,0.090084,49.848843,0.000295
0.020000,0.164172,7.189829,0.000388,0.004026,0.021101,-3.449138,6.283182
0.020000,0.167218,7.189828,0.003434,0.152318,7.414606,369.675221,6.282784
0.020000,0.171026,7.189826,0.007242,0.190394,1.903802,-275.540201,6.282286
0.020000,0.175595,7.189821,0.011812,0.228474,1.904014,0.010628,6.281689
0.020000,0.180926,7.189811,0.017143,0.266556,1.904102,0.004382,6.280993
0.020000,0.187019,7.189795,0.023236,0.304637,1.904056,-0.002265,6.280197
0.020000,0.193874,7.189771,0.030090,0.342725,1.904399,0.017121,6.279302
0.020000,0.201490,7.189738,0.037706,0.380809,1.904171,-0.011377,6.278309
0.020000,0.209868,7.189693,0.046084,0.418902,1.904645,0.023661,6.277216
0.020000,0.219007,7.189633,0.055224,0.456990,1.904445,-0.010001,6.276024
0.020000,0.228909,7.189555,0.065126,0.495083,1.904631,0.009333,6.274734
0.020000,0.239572,7.189458,0.075789,0.533177,1.904691,0.003005,6.273345
0.020000,0.250997,7.189337,0.087215,0.571283,1.905286,0.029752,6.271857
0.020000,0.263183,7.189189,0.099403,0.609379,1.904809,-0.023860,6.270272
0.020000,0.276132,7.189011,0.112352,0.647492,1.905645,0.041781,6.268589
0.020000,0.289842,7.188799,0.126064,0.685600,1.905418,-0.011341,6.266807
0.020000,0.304314,7.188548,0.140539,0.723715,1.905724,0.015304,6.264929
0.020000,0.319548,7.188255,0.155775,0.761833,1.905914,0.009480,6.262953
0.020000,0.335544,7.187914,0.171775,0.799963,1.906501,0.029382,6.260880
0.020000,0.352301,7.187522,0.188536,0.838090,1.906380,-0.006046,6.258711
0.020000,0.369820,7.187074,0.206061,0.876232,1.907061,0.034032,6.256445
0.020000,0.388100,7.186563,0.224349,0.914374,1.907121,0.003001,6.254083
0.020000,0.407142,7.185985,0.243399,0.952526,1.907576,0.022761,6.251626
0.020000,0.426945,7.185335,0.263213,0.990684,1.907929,0.017636,6.249074
0.020000,0.447509,7.184606,0.283790,1.028852,1.908378,0.022450,6.246427
0.020000,0.468834,7.183792,0.305130,1.067032,1.908996,0.030907,6.243687
0.020000,0.490920,7.182888,0.327235,1.105217,1.909255,0.012924,6.240852
0.020000,0.513766,7.181887,0.350103,1.143413,1.909805,0.027520,6.237925
0.020000,0.537373,7.180782,0.373735,1.181622,1.910448,0.032161,6.234905
0.020000,0.561740,7.179567,0.398132,1.219842,1.911007,0.027927,6.231794
0.020000,0.586866,7.178234,0.423294,1.258072,1.911492,0.024285,6.228591
0.020000,0.612751,7.176777,0.449220,1.296321,1.912479,0.049337,6.225299
0.020000,0.639395,7.175187,0.475912,1.334578,1.912817,0.016898,6.221916
0.020000,0.666798,7.173459,0.503369,1.372853,1.913775,0.047909,6.218445
0.020000,0.694958,7.171583,0.531592,1.411146,1.914642,0.043337,6.214887
0.020000,0.723876,7.169551,0.560581,1.449455,1.915467,0.041256,6.211241
0.020000,0.753551,7.167357,0.590336,1.487780,1.916228,0.038043,6.207510
0.020000,0.783982,7.164992,0.620859,1.526123,1.917147,0.045952,6.203694
0.020000,0.815168,7.162446,0.652149,1.564488,1.918274,0.056355,6.199794
0.020000,0.847108,7.159712,0.684206,1.602875,1.919337,0.053128,6.195811
0.020000,0.879803,7.156781,0.717032,1.641282,1.920325,0.049408,6.191748
0.020000,0.913250,7.153644,0.750626,1.679711,1.921483,0.057888,6.187604
0.020000,0.947450,7.150293,0.784989,1.718170,1.922943,0.072997,6.183381
0.020000,0.982400,7.146717,0.820122,1.756647,1.923820,0.043855,6.179081
0.020000,1.018101,7.142908,0.856025,1.795158,1.925547,0.086373,6.174706
0.020000,1.054550,7.138856,0.892699,1.833691,1.926687,0.056988,6.170256
0.020000,1.091747,7.134552,0.930144,1.872255,1.928198,0.075577,6.165733
0.020000,1.129690,7.129987,0.968361,1.910849,1.929694,0.074779,6.161139
0.020000,1.168379,7.125150,1.007351,1.949477,1.931401,0.085342,6.156476
0.020000,1.207811,7.120031,1.047114,1.988135,1.932911,0.075495,6.151746
0.020000,1.247985,7.114622,1.087650,2.026830,1.934741,0.091527,6.146950
0.020000,1.288899,7.108912,1.128961,2.065559,1.936417,0.083799,6.142091
0.020000,1.330553,7.102891,1.171048,2.104324,1.938295,0.093903,6.137170
0.020000,1.372944,7.096549,1.213910,2.143128,1.940180,0.094210,6.132189
0.020000,1.416070,7.089876,1.257550,2.181972,1.942223,0.102147,6.127152
0.020000,1.459930,7.082861,1.301967,2.220857,1.944201,0.098942,6.122059
0.020000,1.504521,7.075496,1.347163,2.259784,1.946363,0.108075,6.116914
0.020000,1.549842,7.067769,1.393138,2.298753,1.948471,0.105412,6.111718
0.020000,1.595891,7.059670,1.439893,2.337768,1.950726,0.112721,6.106475
0.020000,1.642665,7.051190,1.487430,2.376828,1.953004,0.113900,6.101186
0.020000,1.690162,7.042317,1.535748,2.415936,1.955435,0.121597,6.095855
0.020000,1.738380,7.033043,1.584850,2.455092,1.957760,0.116211,6.090484
0.020000,1.787317,7.023357,1.634736,2.494298,1.960334,0.128717,6.085075
0.020000,1.836969,7.013248,1.685407,2.533554,1.962804,0.123494,6.079632
0.020000,1.887335,7.002708,1.736865,2.572863,1.965411,0.130370,6.074158
0.020000,1.938413,6.991726,1.789109,2.612224,1.968060,0.132452,6.068655
0.020000,1.990198,6.980293,1.842142,2.651640,1.970805,0.137224,6.063126
0.020000,2.042690,6.968398,1.895964,2.691110,1.973493,0.134406,6.057574
0.020000,2.095884,6.956032,1.950577,2.730637,1.976338,0.142244,6.052004
0.020000,2.149779,6.943187,2.005981,2.770220,1.979173,0.141751,6.046416
0.020000,2.204371,6.929852,2.062178,2.809861,1.982059,0.144318,6.040816
0.020000,2.259658,6.916018,2.119170,2.849561,1.984998,0.146921,6.035205
0.020000,2.315636,6.901677,2.176956,2.889320,1.987961,0.148163,6.029588
0.020000,2.372304,6.886820,2.235539,2.929140,1.990968,0.150372,6.023968
0.020000,2.429657,6.871438,2.294919,2.969020,1.994011,0.152146,6.018348
0.020000,2.487694,6.855522,2.355098,3.008961,1.997072,0.153035,6.012731
0.020000,2.546410,6.839065,2.416078,3.048965,2.000158,0.154326,6.007121
0.020000,2.605804,6.822059,2.477858,3.089030,2.003279,0.156031,6.001521
0.020000,2.665872,6.804495,2.540442,3.129159,2.006441,0.158082,5.995935
0.020000,2.726612,6.786367,2.603829,3.169350,2.009552,0.155583,5.990366
0.020000,2.788020,6.767667,2.668021,3.209605,2.012767,0.160724,5.984818
0.020000,2.850093,6.748388,2.733019,3.249924,2.015927,0.157988,5.979294
0.020000,2.912829,6.728523,2.798825,3.290306,2.019107,0.159000,5.973798
0.020000,2.976226,6.708067,2.865440,3.330752,2.022313,0.160316,5.968333
0.020000,3.040279,6.687012,2.932866,3.371263,2.025550,0.161868,5.962903
0.020000,3.104988,6.665354,3.001102,3.411837,2.028666,0.155795,5.957512
0.020000,3.170348,6.643086,3.070152,3.452476,2.031957,0.164553,5.952162
0.020000,3.236358,6.620204,3.140015,3.493178,2.035112,0.157746,5.946858
0.020000,3.303016,6.596703,3.210694,3.533944,2.038281,0.158456,5.941603
