dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.330618,1.013201,0.000198,0.019849,0.992452,49.622593,0.545606
0.020000,11.330231,1.012965,0.000652,0.022656,0.140344,-42.605401,0.546857
0.020000,11.330091,1.012880,0.000816,0.008206,-0.722494,-43.141869,0.549361
0.020000,11.330962,1.013416,0.001839,0.051152,2.147296,143.489462,0.553115
0.020000,11.332121,1.014135,0.003203,0.068196,0.852211,-64.754250,0.558121
0.020000,11.333564,1.015043,0.004908,0.085246,0.852467,0.012800,0.564378
0.020000,11.335289,1.016144,0.006954,0.102320,0.853713,0.062310,0.571886
0.020000,11.337292,1.017446,0.009343,0.119452,0.856614,0.145073,0.580640
0.020000,11.339570,1.018957,0.012077,0.136681,0.861459,0.242227,0.590636
0.020000,11.342120,1.020687,0.015158,0.154069,0.869395,0.396786,0.601865
0.020000,11.344938,1.022649,0.018592,0.171690,0.881030,0.581762,0.614313
0.020000,11.348023,1.024856,0.022385,0.189647,0.897875,0.842239,0.627963
0.020000,11.351372,1.027326,0.026546,0.208052,0.920256,1.119064,0.642790
0.020000,11.354985,1.030077,0.031087,0.227044,0.949582,1.466304,0.658760
0.020000,11.358861,1.033131,0.036022,0.246789,0.987229,1.882349,0.675834
0.020000,11.363004,1.036515,0.041372,0.267460,1.033555,2.316280,0.693958
0.020000,11.367416,1.040258,0.047157,0.289258,1.089913,2.817937,0.713071
0.020000,11.372100,1.044392,0.053405,0.312397,1.156967,3.352700,0.733100
0.020000,11.377062,1.048956,0.060147,0.337090,1.234662,3.884726,0.753957
0.020000,11.382308,1.053991,0.067418,0.363564,1.323660,4.449884,0.775545
0.020000,11.387845,1.059542,0.075258,0.392031,1.423358,4.984918,0.797754
0.020000,11.393679,1.065661,0.083712,0.422692,1.533052,5.484701,0.820462
0.020000,11.399816,1.072400,0.092827,0.455725,1.651643,5.929569,0.843538
0.020000,11.406261,1.079816,0.102652,0.491278,1.777651,6.300408,0.866844
0.020000,11.413019,1.087969,0.113242,0.529461,1.909147,6.574775,0.890232
0.020000,11.420091,1.096918,0.124648,0.570345,2.044210,6.753152,0.913556
0.020000,11.427478,1.106727,0.136928,0.613953,2.180424,6.810683,0.936663
0.020000,11.435179,1.117455,0.150133,0.660273,2.316003,6.778976,0.959404
0.020000,11.443189,1.129161,0.164318,0.709247,2.448680,6.633831,0.981633
0.020000,11.451505,1.141903,0.179534,0.760783,2.576804,6.406207,1.003208
0.020000,11.460119,1.155736,0.195829,0.814764,2.699038,6.111684,1.023993
0.020000,11.469027,1.170708,0.213250,0.871064,2.815023,5.799254,1.043861
0.020000,11.478221,1.186866,0.231841,0.929532,2.923401,5.418930,1.062692
0.020000,11.487698,1.204251,0.251642,0.990034,3.025093,5.084575,1.080373
0.020000,11.497455,1.222902,0.272690,1.052448,3.120688,4.779774,1.096799
0.020000,11.507495,1.242851,0.295024,1.116659,3.210532,4.492201,1.111871
0.020000,11.517824,1.264128,0.318676,1.182594,3.296786,4.312706,1.125494
0.020000,11.528453,1.286761,0.343680,1.250202,3.380405,4.180927,1.137574
0.020000,11.539402,1.310772,0.370069,1.319486,3.464175,4.188518,1.148019
0.020000,11.550697,1.336185,0.397879,1.390488,3.550121,4.297273,1.156735
0.020000,11.562374,1.363020,0.427145,1.463297,3.640439,4.515920,1.163621
0.020000,11.574481,1.391299,0.457906,1.538063,3.738287,4.892385,1.168570
0.020000,11.587077,1.421041,0.490206,1.614997,3.846730,5.422180,1.171461
0.020000,11.600236,1.452270,0.524094,1.694372,3.968722,6.099600,1.172159
0.020000,11.614048,1.485006,0.559624,1.776534,4.108086,6.968181,1.170512
0.020000,11.628623,1.519273,0.596862,1.861906,4.268598,8.025590,1.166340
0.020000,11.644094,1.555095,0.635882,1.950989,4.454190,9.279588,1.159440
0.020000,11.660620,1.592494,0.676770,2.044377,4.669370,10.759031,1.149572
0.020000,11.678389,1.631491,0.719624,2.142733,4.917794,12.421193,1.136464
0.020000,11.697628,1.672100,0.764560,2.246786,5.202653,14.242925,1.119798
0.020000,11.718601,1.714324,0.811706,2.357313,5.526375,16.186126,1.099218
0.020000,11.741625,1.758145,0.861207,2.475055,5.887069,18.034688,1.074324
0.020000,11.767061,1.803513,0.913220,2.600630,6.278748,19.583938,1.044683
0.020000,11.795329,1.850328,0.967907,2.734350,6.686019,20.363544,1.009844
0.020000,11.826893,1.898413,1.025427,2.875982,7.081593,19.778743,0.969370
