dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.518447,0.703801,0.000198,0.019849,0.992452,49.622593,0.545606
0.020000,11.518447,0.703801,0.000992,0.059547,1.984904,49.622593,0.546857
0.020000,11.519080,0.704188,0.002580,0.099245,1.984904,-0.000000,0.549361
0.020000,11.521109,0.705435,0.004962,0.138943,1.984904,0.000000,0.553115
0.020000,11.523807,0.707111,0.008138,0.178641,1.984904,-0.000000,0.558121
0.020000,11.527168,0.709223,0.012108,0.218339,1.984904,0.000000,0.564378
0.020000,11.531183,0.711787,0.016872,0.258037,1.984904,-0.000000,0.571886
0.020000,11.535843,0.714815,0.022429,0.297736,1.984904,0.000000,0.580640
0.020000,11.541137,0.718326,0.028781,0.337434,1.984904,0.000000,0.590636
0.020000,11.547049,0.722338,0.035927,0.377132,1.984904,0.000000,0.601865
0.020000,11.553565,0.726874,0.043866,0.416830,1.984904,0.000000,0.614313
0.020000,11.560668,0.731957,0.052600,0.456528,1.984904,0.000000,0.627963
0.020000,11.568336,0.737611,0.062127,0.496226,1.984904,0.000000,0.642790
0.020000,11.576547,0.743864,0.072449,0.535924,1.984904,-0.000000,0.658760
0.020000,11.585278,0.750743,0.083564,0.575622,1.984904,0.000000,0.675834
0.020000,11.594502,0.758277,0.095474,0.615320,1.984904,-0.000000,0.693958
0.020000,11.604189,0.766495,0.108177,0.655018,1.984904,0.000000,0.713071
0.020000,11.614308,0.775426,0.121675,0.694716,1.984904,-0.000000,0.733100
0.020000,11.624827,0.785100,0.135966,0.734414,1.984904,0.000000,0.753957
0.020000,11.635712,0.795544,0.151051,0.774112,1.984904,-0.000000,0.775545
0.020000,11.646925,0.806787,0.166930,0.813811,1.984904,0.000000,0.797754
0.020000,11.658431,0.818853,0.183604,0.853509,1.984904,-0.000000,0.820462
0.020000,11.670192,0.831767,0.201071,0.893207,1.984904,0.000000,0.843538
0.020000,11.682172,0.845549,0.219332,0.932905,1.984904,-0.000000,0.866844
0.020000,11.694333,0.860218,0.238387,0.972603,1.984904,0.000000,0.890232
0.020000,11.706640,0.875791,0.258236,1.012301,1.984904,-0.000000,0.913556
0.020000,11.719060,0.892279,0.278879,1.051999,1.984904,0.000000,0.936663
0.020000,11.731562,0.909692,0.300316,1.091697,1.984904,0.000000,0.959404
0.020000,11.744117,0.928038,0.322547,1.131395,1.984904,0.000000,0.981633
0.020000,11.756701,0.947319,0.345572,1.171093,1.984904,-0.000000,1.003208
0.020000,11.769294,0.967536,0.369391,1.210791,1.984904,0.000000,1.023993
0.020000,11.781879,0.988688,0.394003,1.250489,1.984904,-0.000000,1.043861
0.020000,11.794445,1.010769,0.419410,1.290187,1.984904,0.000000,1.062692
0.020000,11.806986,1.033773,0.445611,1.329885,1.984904,0.000000,1.080373
0.020000,11.819501,1.057691,0.472606,1.369584,1.984904,0.000000,1.096799
0.020000,11.831994,1.082513,0.500394,1.409282,1.984904,-0.000000,1.111871
0.020000,11.844477,1.108225,0.528977,1.448980,1.984904,0.000000,1.125494
0.020000,11.856966,1.134815,0.558353,1.488678,1.984904,-0.000000,1.137574
0.020000,11.869483,1.162266,0.588524,1.528376,1.984904,0.000000,1.148019
0.020000,11.882060,1.190561,0.619488,1.568074,1.984904,0.000000,1.156735
0.020000,11.894732,1.219682,0.651247,1.607772,1.984904,0.000000,1.163621
0.020000,11.907544,1.249607,0.683799,1.647470,1.984904,0.000000,1.168570
0.020000,11.920548,1.280313,0.717146,1.687168,1.984904,-0.000000,1.171461
0.020000,11.933805,1.311774,0.751286,1.726866,1.984904,0.000000,1.172159
0.020000,11.947386,1.343961,0.786220,1.766564,1.984904,0.000000,1.170512
0.020000,11.961370,1.376839,0.821949,1.806262,1.984904,0.000000,1.166340
0.020000,11.975850,1.410368,0.858471,1.845960,1.984904,-0.000000,1.159440
0.020000,11.990932,1.444500,0.895787,1.885659,1.984904,0.000000,1.149572
0.020000,12.006733,1.479180,0.933897,1.925357,1.984904,-0.000000,1.136464
0.020000,12.023387,1.514339,0.972801,1.965055,1.984904,0.000000,1.119798
0.020000,12.041045,1.549893,1.012499,2.004753,1.984904,-0.000000,1.099218
0.020000,12.059876,1.585739,1.052991,2.044451,1.984904,-0.000000,1.074324
0.020000,12.080063,1.621751,1.094277,2.084149,1.984904,0.000000,1.044683
0.020000,12.101810,1.657773,1.136357,2.123847,1.984904,0.000000,1.009844
0.020000,12.125332,1.693615,1.179231,2.163545,1.984904,0.000000,0.969370
0.020000,12.150852,1.729045,1.222899,2.203243,1.984904,-0.000000,0.922886
0.020000,12.178592,1.763785,1.267361,2.242941,1.984904,0.000000,0.870156
0.020000,12.208757,1.797513,1.312617,2.282639,1.984904,0.000000,0.811176
0.020000,12.241518,1.829863,1.358667,2.322337,1.984904,0.000000,0.746284
0.020000,12.276988,1.860446,1.405510,2.362035,1.984904,0.000000,0.676246
0.020000,12.315205,1.888867,1.453148,2.401734,1.984904,-0.000000,0.602288
0.020000,12.356122,1.914758,1.501580,2.441432,1.984904,0.000000,0.526029
0.020000,12.399602,1.937811,1.550805,2.481130,1.984904,0.000000,0.449308
0.020000,12.445438,1.957807,1.600825,2.520828,1.984904,-0.000000,0.373949
0.020000,12.493377,1.974621,1.651638,2.560526,1.984904,0.000000,0.301526
0.020000,12.543147,1.988230,1.703246,2.600224,1.984904,-0.000000,0.233212
0.020000,12.594485,1.998688,1.755647,2.639922,1.984904,0.000000,0.169730
0.020000,12.647152,2.006113,1.808843,2.679620,1.984904,0.000000,0.111395
0.020000,12.700943,2.010659,1.862832,2.719318,1.984904,-0.000000,0.058204
0.020000,12.752682,2.012412,1.917615,2.759016,1.984904,0.000000,0.008976
0.020000,12.808242,2.011359,1.973193,2.798714,1.984904,0.000000,6.235710
0.020000,12.864435,2.006990,2.029564,2.838412,1.984904,-0.000000,6.174925
0.020000,12.921027,1.998993,2.086729,2.878110,1.984904,0.000000,6.110241
0.020000,12.977742,1.987100,2.144688,2.917808,1.984904,-0.000000,6.042425
0.020000,13.034077,1.971173,2.203243,2.937658,0.992452,-49.622593,5.972820
0.020000,13.089188,1.951360,2.261819,2.919954,-0.885163,-93.880758,5.903470
0.020000,13.142313,1.928054,2.319843,2.882402,-1.877615,-49.622593,5.836445
0.020000,13.193121,1.901689,2.377094,2.842704,-1.984904,-5.364428,5.773178
0.020000,13.241547,1.872683,2.433551,2.803006,-1.984904,-0.000000,5.714551
0.020000,13.287616,1.841452,2.489214,2.763308,-1.984904,0.000000,5.661088
0.020000,13.331407,1.808401,2.544083,2.723610,-1.984904,-0.000000,5.613005
0.020000,13.373043,1.773903,2.598158,2.683912,-1.984904,0.000000,5.570286
0.020000,13.412671,1.738292,2.651440,2.644213,-1.984904,0.000000,5.532745
0.020000,13.450456,1.701864,2.703927,2.604515,-1.984904,-0.000000,5.500099
0.020000,13.486564,1.664874,2.755620,2.564817,-1.984904,0.000000,5.472012
0.020000,13.521161,1.627542,2.806520,2.525119,-1.984904,-0.000000,5.448136
0.020000,13.554404,1.590054,2.856625,2.485421,-1.984904,0.000000,5.428132
0.020000,13.586444,1.552571,2.905937,2.445723,-1.984904,0.000000,5.411685
0.020000,13.617419,1.515228,2.954454,2.406025,-1.984904,-0.000000,5.398508
0.020000,13.647457,1.478144,3.002178,2.366327,-1.984904,0.000000,5.388348
0.020000,13.676676,1.441420,3.049107,2.326629,-1.984904,0.000000,5.380981
0.020000,13.705180,1.405144,3.095243,2.286931,-1.984904,0.000000,5.376215
0.020000,13.733068,1.369393,3.140584,2.247233,-1.984904,-0.000000,5.373886
0.020000,13.760427,1.334236,3.185132,2.207535,-1.984904,0.000000,5.373852
0.020000,13.787334,1.299734,3.228886,2.167837,-1.984904,0.000000,5.375994
0.020000,13.813861,1.265943,3.271846,2.128139,-1.984904,-0.000000,5.380209
0.020000,13.840070,1.232912,3.314011,2.088440,-1.984904,0.000000,5.386411
0.020000,13.866017,1.200688,3.355383,2.048742,-1.984904,-0.000000,5.394524
0.020000,13.891751,1.169314,3.395961,2.009044,-1.984904,0.000000,5.404485
0.020000,13.917313,1.138830,3.435745,1.969346,-1.984904,0.000000,5.416233
0.020000,13.942740,1.109272,3.474735,1.929648,-1.984904,0.000000,5.429714
0.020000,13.968062,1.080676,3.512931,1.889950,-1.984904,-0.000000,5.444875
0.020000,13.993301,1.053074,3.550333,1.850252,-1.984904,0.000000,5.461662
0.020000,14.018475,1.026497,3.586941,1.810554,-1.984904,0.000000,5.480016
0.020000,14.043596,1.000971,3.622755,1.770856,-1.984904,0.000000,5.499874
0.020000,14.068668,0.976522,3.657775,1.731158,-1.984904,-0.000000,5.521164
0.020000,14.093690,0.953171,3.692001,1.691460,-1.984904,0.000000,5.543804
0.020000,14.118656,0.930937,3.725434,1.651762,-1.984904,0.000000,5.567699
0.020000,14.143553,0.909834,3.758072,1.612064,-1.984904,0.000000,5.592744
0.020000,14.168363,0.889872,3.789916,1.572365,-1.984904,-0.000000,5.618818
0.020000,14.193062,0.871056,3.820966,1.532667,-1.984904,0.000000,5.645788
0.020000,14.217622,0.853387,3.851223,1.492969,-1.984904,0.000000,5.673509
0.020000,14.242010,0.836858,3.880685,1.453271,-1.984904,-0.000000,5.701825
0.020000,14.266190,0.821459,3.909354,1.413573,-1.984904,0.000000,5.730573
0.020000,14.290123,0.807172,3.937228,1.373875,-1.984904,-0.000000,5.759585
0.020000,14.313769,0.793973,3.964309,1.334177,-1.984904,0.000000,5.788691
0.020000,14.337083,0.781834,3.990595,1.294479,-1.984904,0.000000,5.817724
0.020000,14.360025,0.770720,4.016088,1.254781,-1.984904,0.000000,5.846521
0.020000,14.382551,0.760593,4.040786,1.215083,-1.984904,-0.000000,5.874932
0.020000,14.404620,0.751409,4.064691,1.175385,-1.984904,0.000000,5.902815
0.020000,14.426193,0.743122,4.087802,1.135687,-1.984904,0.000000,5.930046
0.020000,14.447232,0.735682,4.110119,1.095989,-1.984904,0.000000,5.956514
0.020000,14.467703,0.729037,4.131641,1.056291,-1.984904,0.000000,5.982126
0.020000,14.487573,0.723135,4.152370,1.016592,-1.984904,-0.000000,6.006805
0.020000,14.506814,0.717923,4.172305,0.976894,-1.984904,0.000000,6.030490
0.020000,14.525400,0.713348,4.191446,0.937196,-1.984904,-0.000000,6.053136
0.020000,14.543307,0.709358,4.209793,0.897498,-1.984904,0.000000,6.074711
0.020000,14.560516,0.705901,4.227346,0.857800,-1.984904,-0.000000,6.095196
0.020000,14.577009,0.702929,4.244105,0.818102,-1.984904,0.000000,6.114580
0.020000,14.592772,0.700395,4.260070,0.778404,-1.984904,-0.000000,6.132865
0.020000,14.607790,0.698252,4.275241,0.738706,-1.984904,0.000000,6.150056
0.020000,14.622055,0.696459,4.289618,0.699008,-1.984904,-0.000000,6.166168
0.020000,14.635557,0.694974,4.303201,0.659310,-1.984904,0.000000,6.181216
0.020000,14.648288,0.693762,4.315991,0.619612,-1.984904,0.000000,6.195221
0.020000,14.660244,0.692786,4.327986,0.579914,-1.984904,-0.000000,6.208207
0.020000,14.671418,0.692014,4.339187,0.540216,-1.984904,0.000000,6.220196
0.020000,14.681808,0.691416,4.349594,0.500517,-1.984904,-0.000000,6.231213
0.020000,14.691411,0.690965,4.359208,0.460819,-1.984904,0.000000,6.241283
0.020000,14.700224,0.690636,4.368027,0.421121,-1.984904,0.000000,6.250428
0.020000,14.708246,0.690406,4.376053,0.381423,-1.984904,-0.000000,6.258672
0.020000,14.715476,0.690256,4.383284,0.341725,-1.984904,-0.000000,6.266036
0.020000,14.721913,0.690166,4.389722,0.302027,-1.984904,0.000000,6.272540
0.020000,14.727557,0.690122,4.395365,0.262329,-1.984904,0.000000,6.278200
0.020000,14.732406,0.690110,4.400215,0.222631,-1.984904,0.000000,6.283033
0.020000,14.736462,0.690117,4.404270,0.182933,-1.984904,0.000000,0.003868
0.020000,14.739723,0.690135,4.407532,0.143235,-1.984904,0.000000,0.007086
0.020000,14.742191,0.690156,4.410000,0.103537,-1.984904,-0.000000,0.009513
0.020000,14.743864,0.690173,4.411674,0.063839,-1.984904,0.000000,0.011154
0.020000,14.744745,0.690183,4.412553,0.024141,-1.984904,0.000000,0.012016
0.020000,14.745008,0.690186,4.412816,0.002146,-1.099740,44.258165,0.012273
