dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.706276,0.394401,0.000198,0.019849,0.992452,49.622593,0.545606
0.020000,11.706663,0.394637,0.000652,0.022656,0.140344,-42.605401,0.546857
0.020000,11.708069,0.395496,0.002299,0.082393,2.986857,142.325674,0.549361
0.020000,11.711256,0.397455,0.006040,0.187034,5.232023,112.258292,0.553115
0.020000,11.715493,0.400086,0.011028,0.249390,3.117828,-105.709751,0.558121
0.020000,11.720771,0.403404,0.017263,0.311733,3.117166,-0.033086,0.564378
0.020000,11.727077,0.407429,0.024744,0.374049,3.115802,-0.068226,0.571886
0.020000,11.734394,0.412184,0.033470,0.436320,3.113528,-0.113698,0.580640
0.020000,11.742703,0.417695,0.043440,0.498485,3.108227,-0.265051,0.590636
0.020000,11.751978,0.423990,0.054650,0.560493,3.100413,-0.390706,0.601865
0.020000,11.762192,0.431100,0.067095,0.622256,3.088160,-0.612660,0.614313
0.020000,11.773312,0.439057,0.080769,0.683704,3.072413,-0.787323,0.627963
0.020000,11.785300,0.447897,0.095663,0.744695,3.049536,-1.143858,0.642790
0.020000,11.798110,0.457651,0.111764,0.805089,3.019682,-1.492706,0.658760
0.020000,11.811696,0.468355,0.129059,0.864746,2.982893,-1.839423,0.675834
0.020000,11.826000,0.480038,0.147529,0.923465,2.935910,-2.349194,0.693958
0.020000,11.840962,0.492731,0.167150,0.981056,2.879578,-2.816565,0.713071
0.020000,11.856517,0.506460,0.187896,1.037319,2.813140,-3.321925,0.733100
0.020000,11.872593,0.521243,0.209736,1.092012,2.734640,-3.924995,0.753957
0.020000,11.889115,0.537098,0.232635,1.144931,2.645948,-4.434575,0.775545
0.020000,11.906005,0.554032,0.256552,1.195858,2.546352,-4.979823,0.797754
0.020000,11.923183,0.572046,0.281444,1.244590,2.436616,-5.486803,0.820462
0.020000,11.940569,0.591134,0.307263,1.290950,2.317984,-5.931572,0.843538
0.020000,11.958083,0.611282,0.333959,1.334791,2.192077,-6.295348,0.866844
0.020000,11.975647,0.632468,0.361479,1.376001,2.060486,-6.579587,0.890232
0.020000,11.993189,0.654663,0.389769,1.414514,1.925657,-6.741451,0.913556
0.020000,12.010642,0.677831,0.418775,1.450297,1.789135,-6.826093,0.936663
0.020000,12.027944,0.701930,0.448443,1.483375,1.653928,-6.760339,0.959404
0.020000,12.045044,0.726915,0.478719,1.513801,1.521291,-6.631830,0.981633
0.020000,12.061897,0.752735,0.509552,1.541662,1.393054,-6.411891,1.003208
0.020000,12.078468,0.779337,0.540893,1.567072,1.270497,-6.127845,1.023993
0.020000,12.094731,0.806668,0.572697,1.590180,1.155408,-5.754447,1.043861
0.020000,12.110669,0.834672,0.604919,1.611107,1.046305,-5.455152,1.062692
0.020000,12.126274,0.863295,0.637519,1.629999,0.944618,-5.084342,1.080373
0.020000,12.141546,0.892480,0.670459,1.646992,0.849667,-4.747555,1.096799
0.020000,12.156493,0.922174,0.703702,1.662180,0.759373,-4.514696,1.111871
0.020000,12.171130,0.952322,0.737215,1.675651,0.673552,-4.291055,1.125494
0.020000,12.185478,0.982869,0.770964,1.687437,0.589322,-4.211494,1.137574
0.020000,12.199565,1.013760,0.804915,1.697552,0.505748,-4.178694,1.148019
0.020000,12.213423,1.044937,0.839034,1.705954,0.420113,-4.281772,1.156735
0.020000,12.227090,1.076343,0.873285,1.712544,0.329477,-4.531800,1.163621
0.020000,12.240608,1.107915,0.907629,1.717175,0.231551,-4.896288,1.168570
0.020000,12.254020,1.139585,0.942022,1.719641,0.123321,-5.411492,1.171461
0.020000,12.267375,1.171279,0.976415,1.719664,0.001128,-6.109645,1.172159
0.020000,12.280724,1.202916,1.010753,1.716898,-0.138302,-6.971478,1.170512
0.020000,12.294117,1.234405,1.044971,1.710920,-0.298874,-8.028633,1.166340
0.020000,12.307606,1.265641,1.078996,1.701225,-0.484767,-9.294644,1.159440
0.020000,12.321243,1.296507,1.112740,1.687228,-0.699844,-10.753866,1.149572
0.020000,12.335076,1.326870,1.146105,1.668260,-0.948430,-12.429260,1.136464
0.020000,12.349146,1.356578,1.178977,1.643581,-1.233946,-14.275810,1.119798
0.020000,12.363489,1.385461,1.211226,1.612426,-1.557720,-16.188689,1.099218
0.020000,12.378127,1.413332,1.242706,1.574045,-1.919082,-18.068145,1.074324
0.020000,12.393065,1.439988,1.273263,1.527819,-2.311259,-19.608848,1.044683
0.020000,12.408291,1.465219,1.302731,1.473429,-2.719511,-20.412601,1.009844
0.020000,12.423770,1.488817,1.330954,1.411116,-3.115642,-19.806544,0.969370
0.020000,12.439452,1.510600,1.357794,1.342028,-3.454405,-16.938151,0.922886
0.020000,12.455277,1.530433,1.383167,1.268653,-3.668777,-10.718576,0.870156
0.020000,12.471206,1.548257,1.407072,1.195225,-3.671392,-0.130780,0.811176
0.020000,12.487251,1.564113,1.429630,1.127903,-3.366106,15.264339,0.746284
0.020000,12.503521,1.578151,1.451119,1.074454,-2.672444,34.683082,0.676246
0.020000,12.520261,1.590605,1.471983,1.043193,-1.563065,55.468974,0.602288
0.020000,12.537858,1.601741,1.492807,1.041227,-0.098279,73.239303,0.526029
0.020000,12.556812,1.611786,1.514259,1.072567,1.567024,83.265119,0.449308
0.020000,12.577656,1.620870,1.536997,1.136889,3.216082,82.452882,0.373949
0.020000,12.600868,1.629001,1.561591,1.229730,4.642063,71.299081,0.301526
0.020000,12.626795,1.636078,1.588467,1.343786,5.702799,53.036799,0.233212
0.020000,12.655624,1.641939,1.617886,1.470956,6.358493,32.784717,0.169730
0.020000,12.687388,1.646407,1.649963,1.603827,6.643553,14.252958,0.111395
0.020000,12.721998,1.649322,1.684695,1.736627,6.639970,-0.179135,0.058204
0.020000,12.755931,1.650476,1.718647,1.697600,-1.951355,-429.566229,0.008976
0.020000,12.791065,1.649817,1.753787,1.757017,2.970849,246.110174,6.235710
0.020000,12.825327,1.647159,1.788152,1.718239,-1.938893,-245.487068,6.174925
0.020000,12.858742,1.642443,1.821899,1.687319,-1.545976,19.645813,6.110241
0.020000,12.891438,1.635590,1.855305,1.670339,-0.849005,34.848544,6.042425
0.020000,12.923535,1.626516,1.888660,1.667714,-0.131252,35.887649,5.972820
0.020000,12.955029,1.615192,1.922128,1.673414,0.284986,20.811923,5.903470
0.020000,12.985940,1.601625,1.955885,1.687862,0.722399,21.870658,5.836445
0.020000,13.016423,1.585800,1.990231,1.717288,1.471314,37.445748,5.773178
0.020000,13.046644,1.567690,2.025463,1.761613,2.216238,37.246186,5.714551
0.020000,13.076693,1.547311,2.061771,1.815377,2.688209,23.598574,5.661088
0.020000,13.106590,1.524737,2.099233,1.873108,2.886536,9.916320,5.613005
0.020000,13.136317,1.500099,2.137843,1.930499,2.869547,-0.849449,5.570286
0.020000,13.165836,1.473566,2.177534,1.984556,2.702891,-8.332797,5.532745
0.020000,13.195111,1.445336,2.218203,2.033453,2.444808,-12.904161,5.500099
0.020000,13.224116,1.415618,2.259729,2.076292,2.141971,-15.141853,5.472012
0.020000,13.252836,1.384623,2.301985,2.112826,1.826698,-15.763652,5.448136
0.020000,13.281275,1.352550,2.344850,2.143222,1.519810,-15.344379,5.428132
0.020000,13.309445,1.319591,2.388208,2.167894,1.233582,-14.311376,5.411685
0.020000,13.337375,1.285919,2.431955,2.187390,0.974807,-12.938754,5.398508
0.020000,13.365097,1.251692,2.476001,2.202284,0.744725,-11.504137,5.388348
0.020000,13.392655,1.217054,2.520264,2.213149,0.543239,-10.074296,5.380981
0.020000,13.420094,1.182134,2.564675,2.220535,0.369312,-8.696351,5.376215
0.020000,13.447463,1.147048,2.609173,2.224930,0.219724,-7.479386,5.373886
0.020000,13.474814,1.111900,2.653709,2.226772,0.092090,-6.381697,5.373852
0.020000,13.502199,1.076787,2.698238,2.226443,-0.016412,-5.425104,5.375994
0.020000,13.529668,1.041796,2.742723,2.224270,-0.108698,-4.614300,5.380209
0.020000,13.557272,1.007007,2.787134,2.220525,-0.187228,-3.926493,5.386411
0.020000,13.585061,0.972496,2.831442,2.215424,-0.255037,-3.390449,5.394524
0.020000,13.613082,0.938335,2.875625,2.209140,-0.314212,-2.958756,5.404485
0.020000,13.641377,0.904593,2.919661,2.201790,-0.367520,-2.665412,5.416233
0.020000,13.669987,0.871336,2.963530,2.193461,-0.416452,-2.446572,5.429714
0.020000,13.698947,0.838633,3.007213,2.184157,-0.465189,-2.436877,5.444875
0.020000,13.728287,0.806548,3.050691,2.173873,-0.514193,-2.450211,5.461662
0.020000,13.758030,0.775148,3.093941,2.162537,-0.566813,-2.630994,5.480016
0.020000,13.788193,0.744500,3.136942,2.150059,-0.623905,-2.854559,5.499874
0.020000,13.818783,0.714672,3.179668,2.136263,-0.689793,-3.294429,5.521164
0.020000,13.849797,0.685731,3.222087,2.120984,-0.763923,-3.706505,5.543804
0.020000,13.881223,0.657746,3.264167,2.104004,-0.848999,-4.253799,5.567699
0.020000,13.913036,0.630783,3.305870,2.085106,-0.944934,-4.796736,5.592744
0.020000,13.945199,0.604906,3.347150,2.064026,-1.053974,-5.451998,5.618818
0.020000,13.977664,0.580176,3.387961,2.040540,-1.174284,-6.015521,5.645788
0.020000,14.010369,0.556648,3.428250,2.014435,-1.305279,-6.549743,5.673509
0.020000,14.043241,0.534371,3.467960,1.985508,-1.446336,-7.052852,5.701825
0.020000,14.076198,0.513383,3.507032,1.953626,-1.594088,-7.387600,5.730573
0.020000,14.109148,0.493714,3.545406,1.918700,-1.746318,-7.611507,5.759585
0.020000,14.141992,0.475381,3.583020,1.880704,-1.899810,-7.674579,5.788691
0.020000,14.174627,0.458390,3.619814,1.839674,-2.051502,-7.584628,5.817724
0.020000,14.206950,0.442733,3.655728,1.795735,-2.196952,-7.272480,5.846521
0.020000,14.238854,0.428390,3.690709,1.749030,-2.335221,-6.913429,5.874932
0.020000,14.270241,0.415329,3.724705,1.699795,-2.461761,-6.326998,5.902815
0.020000,14.301015,0.403507,3.757671,1.648294,-2.575035,-5.663736,5.930046
0.020000,14.331086,0.392873,3.789567,1.594797,-2.674849,-4.990663,5.956514
0.020000,14.360373,0.383366,3.820359,1.539589,-2.760428,-4.278970,5.982126
0.020000,14.388806,0.374921,3.850019,1.483033,-2.827813,-3.369244,6.006805
0.020000,14.416321,0.367468,3.878526,1.425348,-2.884235,-2.821096,6.030490
0.020000,14.442866,0.360934,3.905864,1.366876,-2.923577,-1.967096,6.053136
0.020000,14.468396,0.355245,3.932019,1.307771,-2.955282,-1.585275,6.074711
0.020000,14.492873,0.350328,3.956986,1.248330,-2.972021,-0.836932,6.095196
0.020000,14.516272,0.346112,3.980761,1.188749,-2.979042,-0.351068,6.114580
0.020000,14.538568,0.342526,4.003344,1.129139,-2.980508,-0.073309,6.132865
0.020000,14.559747,0.339505,4.024737,1.069660,-2.973975,0.326669,6.150056
0.020000,14.579797,0.336984,4.044945,1.010422,-2.961872,0.605173,6.166168
0.020000,14.598713,0.334905,4.063975,0.951484,-2.946913,0.747904,6.181216
0.020000,14.616491,0.333211,4.081833,0.892911,-2.928662,0.912586,6.195221
0.020000,14.633131,0.331853,4.098528,0.834766,-2.907238,1.071209,6.208207
0.020000,14.648634,0.330782,4.114069,0.777030,-2.886777,1.023027,6.220196
0.020000,14.663006,0.329955,4.128464,0.719756,-2.863726,1.152569,6.231213
0.020000,14.676249,0.329333,4.141722,0.662879,-2.843844,0.994108,6.241283
0.020000,14.688370,0.328880,4.153851,0.606473,-2.820299,1.177234,6.250428
0.020000,14.699375,0.328565,4.164861,0.550476,-2.799865,1.021678,6.258672
0.020000,14.709269,0.328359,4.174757,0.494841,-2.781755,0.905493,6.266036
0.020000,14.718060,0.328237,4.183549,0.439591,-2.762469,0.964299,6.272540
0.020000,14.725752,0.328177,4.191242,0.384615,-2.748819,0.682536,6.278200
0.020000,14.732351,0.328160,4.197840,0.329913,-2.735118,0.685020,6.283033
0.020000,14.737862,0.328170,4.203351,0.275567,-2.717261,0.892875,0.003868
0.020000,14.742288,0.328194,4.207778,0.221315,-2.712609,0.232609,0.007086
0.020000,14.745635,0.328222,4.211124,0.167322,-2.699665,0.647186,0.009513
0.020000,14.747902,0.328246,4.213391,0.113356,-2.698297,0.068417,0.011154
0.020000,14.749094,0.328259,4.214583,0.059609,-2.687351,0.547275,0.012016
0.020000,14.749450,0.328264,4.214940,0.017813,-2.089788,29.878149,0.012273
0.020000,14.749479,0.328264,4.214969,0.001454,-0.817951,63.591871,0.012294
0.020000,14.749479,0.328264,4.214969,0.000000,-0.072708,37.262115,0.012294
