dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.307598,7.283240,0.000199,0.019949,0.997470,49.873524,3.687294
0.020000,5.307839,7.283387,0.000481,0.014083,-0.293332,-64.540135,3.688072
0.020000,5.307662,7.283278,0.000688,0.010365,-0.185900,5.371600,3.689625
0.020000,5.306336,7.282467,0.002243,0.077703,3.366928,177.641403,3.691945
0.020000,5.304567,7.281378,0.004321,0.103906,1.310121,-102.840321,3.695023
0.020000,5.302351,7.280003,0.006928,0.130369,1.323149,0.651371,3.698842
0.020000,5.299687,7.278335,0.010071,0.157158,1.339454,0.815282,3.703386
0.020000,5.296573,7.276362,0.013758,0.184341,1.359135,0.984005,3.708633
0.020000,5.293003,7.274074,0.017998,0.211985,1.382245,1.155544,3.714557
0.020000,5.288976,7.271457,0.022801,0.240159,1.408690,1.322233,3.721128
0.020000,5.284486,7.268495,0.028180,0.268933,1.438667,1.498853,3.728315
0.020000,5.279529,7.265172,0.034147,0.298372,1.471983,1.665804,3.736079
0.020000,5.274101,7.261469,0.040718,0.328545,1.508651,1.833382,3.744380
0.020000,5.268196,7.257367,0.047908,0.359519,1.548700,2.002433,3.753175
0.020000,5.261809,7.252843,0.055735,0.391357,1.591889,2.159454,3.762416
0.020000,5.254933,7.247875,0.064218,0.424117,1.638008,2.305975,3.772050
0.020000,5.247564,7.242440,0.073375,0.457861,1.687194,2.459314,3.782025
0.020000,5.239694,7.236512,0.083228,0.492638,1.738824,2.581476,3.792283
0.020000,5.231318,7.230065,0.093798,0.528494,1.792836,2.700583,3.802764
0.020000,5.222429,7.223072,0.105107,0.565475,1.849015,2.808989,3.813406
0.020000,5.213021,7.215508,0.117179,0.603612,1.906867,2.892594,3.824146
0.020000,5.203087,7.207342,0.130038,0.642937,1.966235,2.968382,3.834917
0.020000,5.192621,7.198549,0.143707,0.683472,2.026773,3.026922,3.845653
0.020000,5.181616,7.189101,0.158212,0.725234,2.088091,3.065862,3.856287
0.020000,5.170065,7.178970,0.173577,0.768237,2.150173,3.104110,3.866748
