dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.931881,7.902004,0.000199,0.019949,0.997470,49.873524,3.687294
0.020000,4.931641,7.901857,0.000481,0.014083,-0.293332,-64.540135,3.688072
0.020000,4.930504,7.901164,0.001813,0.066569,2.624327,145.882937,3.689625
0.020000,4.927746,7.899476,0.005046,0.161690,4.756030,106.585150,3.691945
0.020000,4.924079,7.897219,0.009352,0.215284,2.679704,-103.816286,3.695023
0.020000,4.919514,7.894386,0.014724,0.268619,2.666767,-0.646818,3.698842
0.020000,4.914062,7.890972,0.021157,0.321628,2.650410,-0.817881,3.703386
0.020000,4.907738,7.886968,0.028642,0.374242,2.630715,-0.984742,3.708633
0.020000,4.900559,7.882366,0.037170,0.426396,2.607695,-1.151010,3.714557
0.020000,4.892542,7.877157,0.046730,0.478017,2.581084,-1.330527,3.721128
0.020000,4.883710,7.871330,0.057311,0.529043,2.551260,-1.491198,3.728315
0.020000,4.874085,7.864877,0.068899,0.579400,2.517881,-1.668976,3.736079
0.020000,4.863692,7.857788,0.081479,0.629022,2.481102,-1.838927,3.744380
0.020000,4.852559,7.850053,0.095036,0.677846,2.441198,-1.995203,3.753175
0.020000,4.840713,7.841663,0.109552,0.725807,2.398029,-2.158481,3.762416
0.020000,4.828184,7.832611,0.125009,0.772840,2.351640,-2.319449,3.772050
0.020000,4.815003,7.822890,0.141387,0.818896,2.302811,-2.441410,3.782025
0.020000,4.801202,7.812494,0.158665,0.863917,2.251039,-2.588644,3.792283
0.020000,4.786813,7.801420,0.176823,0.907855,2.196944,-2.704739,3.802764
0.020000,4.771869,7.789665,0.195836,0.950674,2.140926,-2.800906,3.813406
0.020000,4.756402,7.777228,0.215683,0.992333,2.082957,-2.898438,3.824146
0.020000,4.740444,7.764112,0.236339,1.032805,2.023615,-2.967100,3.834917
0.020000,4.724028,7.750320,0.257780,1.072068,1.963143,-3.023613,3.845653
0.020000,4.707182,7.735858,0.279982,1.110102,1.901682,-3.073033,3.856287
0.020000,4.689937,7.720734,0.302920,1.146900,1.839885,-3.089830,3.866748
0.020000,4.672319,7.704957,0.326569,1.182446,1.777304,-3.129060,3.876970
0.020000,4.654355,7.688542,0.350904,1.216745,1.714985,-3.115976,3.886882
0.020000,4.636067,7.671501,0.375900,1.249794,1.652408,-3.128843,3.896415
0.020000,4.617478,7.653854,0.401532,1.281582,1.589419,-3.149454,3.905500
0.020000,4.598607,7.635619,0.427774,1.312122,1.526990,-3.121429,3.914068
0.020000,4.579469,7.616817,0.454602,1.341394,1.463600,-3.169520,3.922049
0.020000,4.560080,7.597475,0.481990,1.369402,1.400423,-3.158819,3.929373
0.020000,4.540449,7.577617,0.509912,1.396124,1.336076,-3.217358,3.935968
0.020000,4.520588,7.557275,0.538343,1.421529,1.270265,-3.290560,3.941763
0.020000,4.500501,7.536480,0.567255,1.445592,1.203144,-3.356038,3.946683
0.020000,4.480193,7.515269,0.596620,1.468254,1.133125,-3.500944,3.950650
0.020000,4.459667,7.493680,0.626409,1.489458,1.060174,-3.647586,3.953584
0.020000,4.438922,7.471757,0.656591,1.509116,0.982890,-3.864203,3.955400
0.020000,4.417957,7.449547,0.687134,1.527124,0.900442,-4.122380,3.956006
0.020000,4.396767,7.427102,0.718001,1.543359,0.811706,-4.436790,3.955304
